Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
05-01-2004,23632284,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen,D,Chili via België,Nederland,"25,740",31-01-2005
06-01-2004,23653915,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Kroatië,Nederland,"15,000",31-01-2005
07-01-2004,23691973,1C450b8,Methyldiethanolamine,Tbv de olie-industrie,D,Zuid-Afrika,Onbekend,"377,834",31-01-2005
08-01-2004,23674858,1C350-02,Fosforoxychloride,Vervaardiging van harsen,D,Turkije,Onbekend,"5,100",31-01-2005
08-01-2004,23711486,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,T,Jordanië,Onbekend,"6,600",31-01-2005
08-01-2004,23711494,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,T,Jordanië,Onbekend,"2,200",31-01-2005
14-01-2004,23477165,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Duitsland,"525,000",31-01-2005
14-01-2004,23729237,0C002,"Uraniumhexafluoride (U-235 < 5,0%)",Energie-opwekking,T,Zuid-Korea,Nederland,"30,404,816",31-01-2005
16-01-2004,23724456,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie en onderhoud ,D,Verenigde Arabische Emiraten,Nederland,"325,400",31-01-2005
19-01-2004,23726866,1C350-46,Triethanolamine,Vervaardiging van verf,D,Aruba,Onbekend,"1,164",31-01-2005
19-01-2004,23727579,1C350-24,Waterstoffluoride,Tbv laboratoriumonderzoek,D,Slovenië,Onbekend,333,31-01-2005
19-01-2004,23728028,1C350-46,Triethanolamine,Tbv kosmetische- en voedingsmiddelenlindustrie,D,Jordanië,Onbekend,"11,454",31-01-2005
20-01-2004,23727609,1C350-24,Waterstoffluoride,Tbv laboratoriumonderzoek,D,Servië en Montenegro,Onbekend,12,31-01-2005
20-01-2004,23771551,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Cyprus,Onbekend,"558,740",31-01-2005
21-01-2004,23770407,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Nederland,"176,400",31-01-2005
22-01-2004,23745380,1C350-02,Fosforoxychloride,Vervaardiging van harsen,D,Brazilië,Duitsland,"7,200",31-01-2005
22-01-2004,23771853,6E002,Productieapparatuur en technologie,Vervaardiging van beeldversterkerbuizen,D,Rusland,Nederland,"6,745,976",31-01-2005
22-01-2004,23790564,1C350-46,Triethanolamine,Verwerking in cement,D,IJsland,Onbekend,"21,510",31-01-2005
22-01-2004,23792044,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Onderzoek,D,Vietnam,Nederland,"6,050",31-01-2005
27-01-2004,23706822,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Nederland,"12,000",31-01-2005
27-01-2004,23706830,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,D,China,Nederland,"16,150",31-01-2005
27-01-2004,23706849,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,D,China,Nederland,"16,100",31-01-2005
27-01-2004,23756056,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (civiel),D,China via Hongkong,Nederland,"6,000",31-01-2005
27-01-2004,23762706,1C350-43,Natriumfluoride,Vervaardiging van mondspoeling,D,Suriname,Onbekend,238,31-01-2005
27-01-2004,23771721,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Testen,D,Saoedi-Arabië,Onbekend,"5,500",31-01-2005
27-01-2004,23796619,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie en/of douane,D,China,Nederland,"4,000",31-01-2005
27-01-2004,23808382,1C350-47,Fosforpentasulfide,Vervaardiging van pesticiden,D,Egypte,Duitsland,"125,038",31-01-2005
27-01-2004,23816784,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Israël,Onbekend,"32,000",31-01-2005
27-01-2004,23816792,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Argentinië,Onbekend,"141,926",31-01-2005
28-01-2004,23706857,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Nederland,"29,000",31-01-2005
28-01-2004,23818868,1C350-52,Zwaveldichloride,Tbv laboratoriumonderzoek,D,Verenigde Staten van Amerika,Onbekend,10,31-01-2005
28-01-2004,23824345,1C350-43,Natriumfluoride,Vervaardiging van pigmenten,D,Hongarije,Onbekend,"7,557",31-01-2005
28-01-2004,23828197,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (vliegvelden en werven),D,China,Onbekend,"58,000",31-01-2005
29-01-2004,23841541,1C350-16,Dimethylamine,Vervaardiging van herbiciden,D,Argentinië,Onbekend,"141,926",31-01-2005
30-01-2004,23465639,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik,D,Jordanië,Nederland,"4,900",31-01-2005
02-02-2004,23724448,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie van buizen,T,Vietnam,Nederland,"2,275",28-02-2005
02-02-2004,23771586,1C350-50,Natriumsulfide,Ontharen en behandelen van huiden en vellen,D,Ethiopië,Onbekend,"6,125",28-02-2005
02-02-2004,23846020,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"37,656",31-12-2004
02-02-2004,23846039,1C350-07,Fosfortrichloride,Vervaardiging van fosfieten,D,Taiwan,Onbekend,"45,033",31-12-2004
