"Gemeente";"CBS";"NUTS-2 Regio's (Provincies)";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Drenthe";"488611"
"Aalburg";"0738";"Noord-Brabant";"2489325"
"Aalsmeer";"0358";"Noord-Holland";"2762163"
"Aalten";"0197";"Gelderland";"2026393"
"Achtkarspelen";"0059";"Friesland (NL)";"646324"
"Alblasserdam";"0482";"Zuid-Holland";"3600784"
"Albrandswaard";"0613";"Zuid-Holland";"3600784"
"Alkmaar";"0361";"Noord-Holland";"2762163"
"Almelo";"0141";"Overijssel";"1140659"
"Almere";"0034";"Flevoland";"401503"
"Alphen aan den Rijn";"0484";"Zuid-Holland";"3600784"
"Alphen-Chaam";"1723";"Noord-Brabant";"2489325"
"Ameland";"0060";"Friesland (NL)";"646324"
"Amersfoort";"0307";"Utrecht";"1263509"
"Amstelveen";"0362";"Noord-Holland";"2762163"
"Amsterdam";"0363";"Noord-Holland";"2762163"
"Apeldoorn";"0200";"Gelderland";"2026393"
"Appingedam";"0003";"Groningen";"584104"
"Arnhem";"0202";"Gelderland";"2026393"
"Assen";"0106";"Drenthe";"488611"
"Asten";"0743";"Noord-Brabant";"2489325"
"Baarle-Nassau";"0744";"Noord-Brabant";"2489325"
"Baarn";"0308";"Utrecht";"1263509"
"Barendrecht";"0489";"Zuid-Holland";"3600784"
"Barneveld";"0203";"Gelderland";"2026393"
"Bedum";"0005";"Groningen";"584104"
"Beek";"0888";"Limburg (NL)";"1118054"
"Beemster";"0370";"Noord-Holland";"2762163"
"Beesel";"0889";"Limburg (NL)";"1118054"
"Bellingwedde";"0007";"Groningen";"584104"
"Berg en Dal";"1945";"Gelderland";"2026393"
"Bergeijk";"1724";"Noord-Brabant";"2489325"
"Bergen (L)";"0893";"Limburg (NL)";"1118054"
"Bergen (NH)";"0373";"Noord-Holland";"2762163"
"Bergen op Zoom";"0748";"Noord-Brabant";"2489325"
"Berkelland";"1859";"Gelderland";"2026393"
"Bernheze";"1721";"Noord-Brabant";"2489325"
"Best";"0753";"Noord-Brabant";"2489325"
"Beuningen";"0209";"Gelderland";"2026393"
"Beverwijk";"0375";"Noord-Holland";"2762163"
"Binnenmaas";"0585";"Zuid-Holland";"3600784"
"Bladel";"1728";"Noord-Brabant";"2489325"
"Blaricum";"0376";"Noord-Holland";"2762163"
"Bloemendaal";"0377";"Noord-Holland";"2762163"
"Bodegraven-Reeuwijk";"1901";"Zuid-Holland";"3600784"
"Boekel";"0755";"Noord-Brabant";"2489325"
"Borger-Odoorn";"1681";"Drenthe";"488611"
"Borne";"0147";"Overijssel";"1140659"
"Borsele";"0654";"Zeeland";"380717"
"Boxmeer";"0756";"Noord-Brabant";"2489325"
"Boxtel";"0757";"Noord-Brabant";"2489325"
"Breda";"0758";"Noord-Brabant";"2489325"
"Brielle";"0501";"Zuid-Holland";"3600784"
"Bronckhorst";"1876";"Gelderland";"2026393"
"Brummen";"0213";"Gelderland";"2026393"
"Brunssum";"0899";"Limburg (NL)";"1118054"
"Bunnik";"0312";"Utrecht";"1263509"
"Bunschoten";"0313";"Utrecht";"1263509"
"Buren";"0214";"Gelderland";"2026393"
"Capelle aan den IJssel";"0502";"Zuid-Holland";"3600784"
"Castricum";"0383";"Noord-Holland";"2762163"
"Coevorden";"0109";"Drenthe";"488611"
"Cranendonck";"1706";"Noord-Brabant";"2489325"
"Cromstrijen";"0611";"Zuid-Holland";"3600784"
"Cuijk";"1684";"Noord-Brabant";"2489325"
"Culemborg";"0216";"Gelderland";"2026393"
"Dalfsen";"0148";"Overijssel";"1140659"
"Dantumadiel";"1891";"Friesland (NL)";"646324"
"De Bilt";"0310";"Utrecht";"1263509"
"De Fryske Marren";"1940";"Friesland (NL)";"646324"
"De Marne";"1663";"Groningen";"584104"
"De Ronde Venen";"0736";"Utrecht";"1263509"
"De Wolden";"1690";"Drenthe";"488611"
"Delft";"0503";"Zuid-Holland";"3600784"
"Delfzijl";"0010";"Groningen";"584104"
"Den Helder";"0400";"Noord-Holland";"2762163"
"Deurne";"0762";"Noord-Brabant";"2489325"
"Deventer";"0150";"Overijssel";"1140659"
"Diemen";"0384";"Noord-Holland";"2762163"
"Dinkelland";"1774";"Overijssel";"1140659"
"Doesburg";"0221";"Gelderland";"2026393"
"Doetinchem";"0222";"Gelderland";"2026393"
"Dongen";"0766";"Noord-Brabant";"2489325"
"Dongeradeel";"0058";"Friesland (NL)";"646324"
"Dordrecht";"0505";"Zuid-Holland";"3600784"
"Drechterland";"0498";"Noord-Holland";"2762163"
"Drimmelen";"1719";"Noord-Brabant";"2489325"
"Dronten";"0303";"Flevoland";"401503"
"Druten";"0225";"Gelderland";"2026393"
"Duiven";"0226";"Gelderland";"2026393"
"Echt-Susteren";"1711";"Limburg (NL)";"1118054"
"Edam-Volendam";"0385";"Noord-Holland";"2762163"
"Ede";"0228";"Gelderland";"2026393"
"Eemnes";"0317";"Utrecht";"1263509"
"Eemsmond";"1651";"Groningen";"584104"
"Eersel";"0770";"Noord-Brabant";"2489325"
"Eijsden-Margraten";"1903";"Limburg (NL)";"1118054"
"Eindhoven";"0772";"Noord-Brabant";"2489325"
"Elburg";"0230";"Gelderland";"2026393"
"Emmen";"0114";"Drenthe";"488611"
"Enkhuizen";"0388";"Noord-Holland";"2762163"
"Enschede";"0153";"Overijssel";"1140659"
"Epe";"0232";"Gelderland";"2026393"
"Ermelo";"0233";"Gelderland";"2026393"
"Etten-Leur";"0777";"Noord-Brabant";"2489325"
"Ferwerderadiel";"1722";"Friesland (NL)";"646324"
"Franekeradeel";"0070";"Friesland (NL)";"646324"
"Geertruidenberg";"0779";"Noord-Brabant";"2489325"
"Geldermalsen";"0236";"Gelderland";"2026393"
"Geldrop-Mierlo";"1771";"Noord-Brabant";"2489325"
"Gemert-Bakel";"1652";"Noord-Brabant";"2489325"
"Gennep";"0907";"Limburg (NL)";"1118054"
"Giessenlanden";"0689";"Zuid-Holland";"3600784"
"Gilze en Rijen";"0784";"Noord-Brabant";"2489325"
"Goeree-Overflakkee";"1924";"Zuid-Holland";"3600784"
"Goes";"0664";"Zeeland";"380717"
"Goirle";"0785";"Noord-Brabant";"2489325"
"Gooise Meren";"1942";"Noord-Holland";"2762163"
"Gorinchem";"0512";"Zuid-Holland";"3600784"
"Gouda";"0513";"Zuid-Holland";"3600784"
"Grave";"0786";"Noord-Brabant";"2489325"
"'s-Gravenhage";"0518";"Zuid-Holland";"3600784"
"Groningen";"0014";"Groningen";"584104"
"Grootegast";"0015";"Groningen";"584104"
"Gulpen-Wittem";"1729";"Limburg (NL)";"1118054"
"Haaksbergen";"0158";"Overijssel";"1140659"
"Haaren";"0788";"Noord-Brabant";"2489325"
"Haarlem";"0392";"Noord-Holland";"2762163"
"Haarlemmerliede en Spaarnwoude";"0393";"Noord-Holland";"2762163"
"Haarlemmermeer";"0394";"Noord-Holland";"2762163"
"Halderberge";"1655";"Noord-Brabant";"2489325"
"Hardenberg";"0160";"Overijssel";"1140659"
"Harderwijk";"0243";"Gelderland";"2026393"
"Hardinxveld-Giessendam";"0523";"Zuid-Holland";"3600784"
"Haren";"0017";"Groningen";"584104"
"Harlingen";"0072";"Friesland (NL)";"646324"
"Hattem";"0244";"Gelderland";"2026393"
"Heemskerk";"0396";"Noord-Holland";"2762163"
"Heemstede";"0397";"Noord-Holland";"2762163"
"Heerde";"0246";"Gelderland";"2026393"
"Heerenveen";"0074";"Friesland (NL)";"646324"
"Heerhugowaard";"0398";"Noord-Holland";"2762163"
"Heerlen";"0917";"Limburg (NL)";"1118054"
"Heeze-Leende";"1658";"Noord-Brabant";"2489325"
"Heiloo";"0399";"Noord-Holland";"2762163"
"Hellendoorn";"0163";"Overijssel";"1140659"
"Hellevoetsluis";"0530";"Zuid-Holland";"3600784"
"Helmond";"0794";"Noord-Brabant";"2489325"
"Hendrik-Ido-Ambacht";"0531";"Zuid-Holland";"3600784"
"Hengelo (O)";"0164";"Overijssel";"1140659"
"'s-Hertogenbosch";"0796";"Noord-Brabant";"2489325"
"het Bildt";"0063";"Friesland (NL)";"646324"
"Heumen";"0252";"Gelderland";"2026393"
"Heusden";"0797";"Noord-Brabant";"2489325"
"Hillegom";"0534";"Zuid-Holland";"3600784"
"Hilvarenbeek";"0798";"Noord-Brabant";"2489325"
"Hilversum";"0402";"Noord-Holland";"2762163"
"Hof van Twente";"1735";"Overijssel";"1140659"
"Hollands Kroon";"1911";"Noord-Holland";"2762163"
"Hoogeveen";"0118";"Drenthe";"488611"
"Hoogezand-Sappemeer";"0018";"Groningen";"584104"
"Hoorn";"0405";"Noord-Holland";"2762163"
"Horst aan de Maas";"1507";"Limburg (NL)";"1118054"
"Houten";"0321";"Utrecht";"1263509"
"Huizen";"0406";"Noord-Holland";"2762163"
"Hulst";"0677";"Zeeland";"380717"
"IJsselstein";"0353";"Utrecht";"1263509"
"Kaag en Braassem";"1884";"Zuid-Holland";"3600784"
"Kampen";"0166";"Overijssel";"1140659"
"Kapelle";"0678";"Zeeland";"380717"
"Katwijk";"0537";"Zuid-Holland";"3600784"
"Kerkrade";"0928";"Limburg (NL)";"1118054"
"Koggenland";"1598";"Noord-Holland";"2762163"
"Kollumerland en Nieuwkruisland";"0079";"Friesland (NL)";"646324"
"Korendijk";"0588";"Zuid-Holland";"3600784"
"Krimpen aan den IJssel";"0542";"Zuid-Holland";"3600784"
"Krimpenerwaard";"1931";"Zuid-Holland";"3600784"
