"Gemeente";"CBS";"Passend Onderwijs - Voortgezet Onderwijs";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"VO-22-01";"158223"
"Aalburg";"0738";"VO-30-09";"140128"
"Aalsmeer";"0358";"VO-27-09";"304385"
"Aalten";"0197";"VO-25-02";"187374"
"Achtkarspelen";"0059";"VO-21-02";"297983"
"Alblasserdam";"0482";"VO-28-13";"150446"
"Albrandswaard";"0613";"VO-28-10";"980696"
"Alkmaar";"0361";"VO-27-03";"240522"
"Almelo";"0141";"VO-23-01";"224644"
"Almere";"0034";"VO-24-01";"196936"
"Alphen aan den Rijn";"0484";"VO-28-02";"359411"
"Alphen-Chaam";"1723";"VO-30-03";"412157"
"Ameland";"0060";"VO-21-01";"304597"
"Amersfoort";"0307";"VO-26-02";"284500"
"Amstelveen";"0362";"VO-27-09";"304385"
"Amsterdam";"0363";"VO-27-08";"848605"
"Apeldoorn";"0200";"VO-25-05";"214194"
"Appingedam";"0003";"VO-20-02";"372218"
"Arnhem";"0202";"VO-25-06";"276306"
"Assen";"0106";"VO-22-01";"158223"
"Asten";"0743";"VO-30-08";"257151"
"Baarle-Nassau";"0744";"VO-30-03";"412157"
"Baarn";"0308";"VO-26-02";"284500"
"Barendrecht";"0489";"VO-28-10";"980696"
"Barneveld";"0203";"VO-25-11";"132645"
"Bedum";"0005";"VO-20-02";"372218"
"Beek";"0888";"VO-31-04";"148087"
"Beemster";"0370";"VO-27-07";"151879"
"Beesel";"0889";"VO-31-02";"183280"
"Bellingwedde";"0007";"VO-20-02";"372218"
"Berg en Dal";"1945";"VO-25-07";"450773"
"Bergeijk";"1724";"VO-30-07";"484930"
"Bergen (L)";"0893";"VO-25-07";"450773"
"Bergen (NH)";"0373";"VO-27-03";"240522"
"Bergen op Zoom";"0748";"VO-30-01";"137032"
"Berkelland";"1859";"VO-25-02";"187374"
"Bernheze";"1721";"VO-30-06";"231641"
"Best";"0753";"VO-30-07";"484930"
"Beuningen";"0209";"VO-25-07";"450773"
"Beverwijk";"0375";"VO-27-04";"126965"
"Binnenmaas";"0585";"VO-28-10";"980696"
"Bladel";"1728";"VO-30-07";"484930"
"Blaricum";"0376";"VO-27-10";"255347"
"Bloemendaal";"0377";"VO-27-05";"294808"
"Bodegraven-Reeuwijk";"1901";"VO-28-02";"359411"
"Boekel";"0755";"VO-30-08";"257151"
"Borger-Odoorn";"1681";"VO-22-02";"185054"
"Borne";"0147";"VO-23-02";"377060"
"Borsele";"0654";"VO-29-02";"135568"
"Boxmeer";"0756";"VO-25-07";"450773"
"Boxtel";"0757";"VO-30-05";"324064"
"Breda";"0758";"VO-30-03";"412157"
"Brielle";"0501";"VO-28-12";"154438"
"Bronckhorst";"1876";"VO-25-03";"179264"
"Brummen";"0213";"VO-25-01";"112944"
"Brunssum";"0899";"VO-31-06";"270927"
"Bunnik";"0312";"VO-26-03";"189919"
"Bunschoten";"0313";"VO-26-02";"284500"
"Buren";"0214";"VO-25-08";"156328"
"Capelle aan den IJssel";"0502";"VO-28-10";"980696"
"Castricum";"0383";"VO-27-04";"126965"
"Coevorden";"0109";"VO-22-02";"185054"
"Cranendonck";"1706";"VO-31-03";"86229"
"Cromstrijen";"0611";"VO-28-10";"980696"
"Cuijk";"1684";"VO-25-07";"450773"
"Culemborg";"0216";"VO-25-08";"156328"
"Dalfsen";"0148";"VO-23-05";"389750"
"Dantumadiel";"1891";"VO-21-01";"304597"
"De Bilt";"0310";"VO-26-03";"189919"
"De Fryske Marren";"1940";"VO-21-01";"304597"
"De Fryske Marren";"1940";"VO-21-02";"297983"
"De Fryske Marren";"1940";"VO-21-03";"146278"
"De Fryske Marren";"1940";"VO-24-02";"117457"
"De Marne";"1663";"VO-20-02";"372218"
"De Ronde Venen";"0736";"VO-26-04";"116835"
"De Wolden";"1690";"VO-22-03";"173607"
"Delft";"0503";"VO-28-09";"152313"
"Delfzijl";"0010";"VO-20-02";"372218"
"Den Helder";"0400";"VO-27-01";"163711"
"Deurne";"0762";"VO-30-08";"257151"
"Deventer";"0150";"VO-23-03";"98509"
"Diemen";"0384";"VO-27-08";"848605"
"Dinkelland";"1774";"VO-23-02";"377060"
"Doesburg";"0221";"VO-25-03";"179264"
"Doetinchem";"0222";"VO-25-03";"179264"
"Dongen";"0766";"VO-30-04";"300768"
"Dongeradeel";"0058";"VO-21-01";"304597"
"Dordrecht";"0505";"VO-28-04";"119046"
"Drechterland";"0498";"VO-27-02";"208394"
"Drimmelen";"1719";"VO-30-03";"412157"
"Dronten";"0303";"VO-23-05";"389750"
"Druten";"0225";"VO-25-07";"450773"
"Duiven";"0226";"VO-25-04";"83712"
"Echt-Susteren";"1711";"VO-31-02";"183280"
"Edam-Volendam";"0385";"VO-27-07";"151879"
"Ede";"0228";"VO-25-10";"168626"
"Eemnes";"0317";"VO-27-10";"255347"
"Eemsmond";"1651";"VO-20-02";"372218"
"Eersel";"0770";"VO-30-07";"484930"
"Eijsden-Margraten";"1903";"VO-31-05";"183026"
"Eindhoven";"0772";"VO-30-07";"484930"
"Elburg";"0230";"VO-25-09";"208398"
"Emmen";"0114";"VO-22-02";"185054"
"Enkhuizen";"0388";"VO-27-02";"208394"
"Enschede";"0153";"VO-23-02";"377060"
"Epe";"0232";"VO-25-05";"214194"
"Ermelo";"0233";"VO-25-09";"208398"
"Etten-Leur";"0777";"VO-30-03";"412157"
"Ferwerderadiel";"1722";"VO-21-01";"304597"
"Franekeradeel";"0070";"VO-21-01";"304597"
"Geertruidenberg";"0779";"VO-30-03";"412157"
"Geldermalsen";"0236";"VO-25-08";"156328"
"Geldrop-Mierlo";"1771";"VO-30-08";"257151"
"Gemert-Bakel";"1652";"VO-30-08";"257151"
"Gennep";"0907";"VO-25-07";"450773"
"Giessenlanden";"0689";"VO-28-14";"168390"
"Gilze en Rijen";"0784";"VO-30-03";"412157"
"Goeree-Overflakkee";"1924";"VO-28-05";"48209"
"Goes";"0664";"VO-29-02";"135568"
"Goirle";"0785";"VO-30-04";"300768"
"Gooise Meren";"1942";"VO-27-10";"255347"
"Gorinchem";"0512";"VO-28-14";"168390"
"Gouda";"0513";"VO-28-02";"359411"
"Grave";"0786";"VO-25-07";"450773"
"'s-Gravenhage";"0518";"VO-28-06";"636804"
"Groningen";"0014";"VO-20-01";"226820"
"Grootegast";"0015";"VO-20-02";"372218"
"Gulpen-Wittem";"1729";"VO-31-06";"270927"
"Haaksbergen";"0158";"VO-25-02";"187374"
"Haaren";"0788";"VO-30-05";"324064"
"Haarlem";"0392";"VO-27-05";"294808"
"Haarlemmerliede en Spaarnwoude";"0393";"VO-27-05";"294808"
"Haarlemmermeer";"0394";"VO-27-09";"304385"
"Halderberge";"1655";"VO-30-02";"143172"
"Hardenberg";"0160";"VO-23-07";"76908"
"Harderwijk";"0243";"VO-25-09";"208398"
"Hardinxveld-Giessendam";"0523";"VO-28-14";"168390"
"Haren";"0017";"VO-20-01";"226820"
"Harlingen";"0072";"VO-21-01";"304597"
"Hattem";"0244";"VO-23-05";"389750"
"Heemskerk";"0396";"VO-27-04";"126965"
"Heemstede";"0397";"VO-27-05";"294808"
"Heerde";"0246";"VO-23-05";"389750"
"Heerenveen";"0074";"VO-21-02";"297983"
"Heerhugowaard";"0398";"VO-27-03";"240522"
"Heerlen";"0917";"VO-31-06";"270927"
"Heeze-Leende";"1658";"VO-30-07";"484930"
"Heiloo";"0399";"VO-27-03";"240522"
"Hellendoorn";"0163";"VO-23-01";"224644"
"Hellevoetsluis";"0530";"VO-28-12";"154438"
"Helmond";"0794";"VO-30-08";"257151"
"Hendrik-Ido-Ambacht";"0531";"VO-28-13";"150446"
"Hengelo (O)";"0164";"VO-23-02";"377060"
"'s-Hertogenbosch";"0796";"VO-30-05";"324064"
"het Bildt";"0063";"VO-21-01";"304597"
"Heumen";"0252";"VO-25-07";"450773"
"Heusden";"0797";"VO-30-09";"140128"
"Hillegom";"0534";"VO-28-03";"184575"
"Hilvarenbeek";"0798";"VO-30-04";"300768"
"Hilversum";"0402";"VO-27-10";"255347"
"Hof van Twente";"1735";"VO-23-02";"377060"
"Hollands Kroon";"1911";"VO-27-01";"163711"
"Hoogeveen";"0118";"VO-22-03";"173607"
"Hoogezand-Sappemeer";"0018";"VO-20-02";"372218"
"Hoorn";"0405";"VO-27-02";"208394"
"Horst aan de Maas";"1507";"VO-31-01";"228841"
"Houten";"0321";"VO-26-05";"177659"
"Huizen";"0406";"VO-27-10";"255347"
"Hulst";"0677";"VO-29-03";"105679"
"IJsselstein";"0353";"VO-26-05";"177659"
"Kaag en Braassem";"1884";"VO-28-01";"256274"
"Kampen";"0166";"VO-23-05";"389750"
"Kapelle";"0678";"VO-29-02";"135568"
"Katwijk";"0537";"VO-28-03";"184575"
"Kerkrade";"0928";"VO-31-06";"270927"
"Koggenland";"1598";"VO-27-02";"208394"
"Kollumerland en Nieuwkruisland";"0079";"VO-21-01";"304597"
"Korendijk";"0588";"VO-28-10";"980696"
"Krimpen aan den IJssel";"0542";"VO-28-10";"980696"
"Krimpenerwaard";"1931";"VO-28-02";"359411"
"Laarbeek";"1659";"VO-30-08";"257151"
"Landerd";"1685";"VO-30-06";"231641"
"Landgraaf";"0882";"VO-31-06";"270927"
"Landsmeer";"0415";"VO-27-07";"151879"
"Langedijk";"0416";"VO-27-03";"240522"
"Lansingerland";"1621";"VO-28-10";"980696"
"Laren";"0417";"VO-27-10";"255347"
"Leek";"0022";"VO-20-02";"372218"
"Leerdam";"0545";"VO-28-14";"168390"
"Leeuwarden";"0080";"VO-21-01";"304597"
"Leeuwarderadeel";"0081";"VO-21-01";"304597"
"Leiden";"0546";"VO-28-01";"256274"
"Leiderdorp";"0547";"VO-28-01";"256274"
"Leidschendam-Voorburg";"1916";"VO-28-06";"636804"
"Lelystad";"0995";"VO-24-03";"76355"
"Leudal";"1640";"VO-31-02";"183280"
"Leusden";"0327";"VO-26-02";"284500"
"Lingewaal";"0733";"VO-28-14";"168390"
"Lingewaard";"1705";"VO-25-06";"276306"
"Lisse";"0553";"VO-28-03";"184575"
"Littenseradiel";"0140";"VO-21-03";"146278"
"Lochem";"0262";"VO-25-02";"187374"
"Loon op Zand";"0809";"VO-30-09";"140128"
"Lopik";"0331";"VO-26-05";"177659"
"Loppersum";"0024";"VO-20-02";"372218"
"Losser";"0168";"VO-23-02";"377060"
"Maasdriel";"0263";"VO-30-05";"324064"
"Maasgouw";"1641";"VO-31-02";"183280"
"Maassluis";"0556";"VO-28-11";"199414"
"Maastricht";"0935";"VO-31-05";"183026"
"Marum";"0025";"VO-20-02";"372218"
"Medemblik";"0420";"VO-27-02";"208394"
"Meerssen";"0938";"VO-31-05";"183026"
"Menameradiel";"1908";"VO-21-01";"304597"
"Menterwolde";"1987";"VO-20-02";"372218"
"Meppel";"0119";"VO-22-03";"173607"
"Middelburg";"0687";"VO-29-01";"114029"
"Midden-Delfland";"1842";"VO-28-11";"199414"
"Midden-Drenthe";"1731";"VO-22-01";"158223"
"Mill en Sint Hubert";"0815";"VO-25-07";"450773"
"Moerdijk";"1709";"VO-30-02";"143172"
"Molenwaard";"1927";"VO-28-14";"168390"
"Montferland";"1955";"VO-25-03";"179264"
"Montfoort";"0335";"VO-26-04";"116835"
"Mook en Middelaar";"0944";"VO-25-07";"450773"
"Neder-Betuwe";"1740";"VO-25-08";"156328"
"Nederweert";"0946";"VO-31-03";"86229"
"Neerijnen";"0304";"VO-25-08";"156328"
"Nieuwegein";"0356";"VO-26-05";"177659"
"Nieuwkoop";"0569";"VO-28-02";"359411"
"Nijkerk";"0267";"VO-25-09";"208398"
"Nijmegen";"0268";"VO-25-07";"450773"
"Nissewaard";"1930";"VO-28-12";"154438"
"Noord-Beveland";"1695";"VO-29-02";"135568"
"Noordenveld";"1699";"VO-20-02";"372218"
"Noordoostpolder";"0171";"VO-24-02";"117457"
"Noordwijk";"0575";"VO-28-03";"184575"
"Noordwijkerhout";"0576";"VO-28-03";"184575"
"Nuenen, Gerwen en Nederwetten";"0820";"VO-30-07";"484930"
"Nunspeet";"0302";"VO-25-09";"208398"
"Nuth";"0951";"VO-31-06";"270927"
"Oegstgeest";"0579";"VO-28-01";"256274"
"Oirschot";"0823";"VO-30-07";"484930"
"Oisterwijk";"0824";"VO-30-04";"300768"
"Oldambt";"1895";"VO-20-02";"372218"
"Oldebroek";"0269";"VO-23-05";"389750"
"Oldenzaal";"0173";"VO-23-02";"377060"
"Olst-Wijhe";"1773";"VO-23-05";"389750"
"Ommen";"0175";"VO-23-07";"76908"
"Onderbanken";"0881";"VO-31-06";"270927"
"Oost Gelre";"1586";"VO-25-02";"187374"
"Oosterhout";"0826";"VO-30-03";"412157"
"Ooststellingwerf";"0085";"VO-21-02";"297983"
"Oostzaan";"0431";"VO-27-06";"176354"
"Opmeer";"0432";"VO-27-02";"208394"
"Opsterland";"0086";"VO-21-02";"297983"
"Oss";"0828";"VO-30-06";"231641"
"Oud-Beijerland";"0584";"VO-28-10";"980696"
"Oude IJsselstreek";"1509";"VO-25-03";"179264"
"Ouder-Amstel";"0437";"VO-27-09";"304385"
"Oudewater";"0589";"VO-26-04";"116835"
"Overbetuwe";"1734";"VO-25-06";"276306"
"Papendrecht";"0590";"VO-28-13";"150446"
"Peel en Maas";"1894";"VO-31-01";"228841"
"Pekela";"0765";"VO-20-02";"372218"
"Pijnacker-Nootdorp";"1926";"VO-28-09";"152313"
"Purmerend";"0439";"VO-27-07";"151879"
"Putten";"0273";"VO-25-09";"208398"
"Raalte";"0177";"VO-23-05";"389750"
"Reimerswaal";"0703";"VO-29-02";"135568"
"Renkum";"0274";"VO-25-06";"276306"
"Renswoude";"0339";"VO-25-11";"132645"
"Reusel-De Mierden";"1667";"VO-30-07";"484930"
"Rheden";"0275";"VO-25-01";"112944"
"Rhenen";"0340";"VO-25-10";"168626"
"Ridderkerk";"0597";"VO-28-10";"980696"
"Rijnwaarden";"0196";"VO-25-04";"83712"
"Rijssen-Holten";"1742";"VO-23-01";"224644"
"Rijswijk";"0603";"VO-28-06";"636804"
"Roerdalen";"1669";"VO-31-02";"183280"
"Roermond";"0957";"VO-31-02";"183280"
"Roosendaal";"1674";"VO-30-02";"143172"
"Rotterdam";"0599";"VO-28-10";"980696"
"Rozendaal";"0277";"VO-25-01";"112944"
"Rucphen";"0840";"VO-30-03";"412157"
"Schagen";"0441";"VO-27-01";"163711"
"Scherpenzeel";"0279";"VO-25-11";"132645"
"Schiedam";"0606";"VO-28-11";"199414"
"Schiermonnikoog";"0088";"VO-21-01";"304597"
"Schijndel";"0844";"VO-30-05";"324064"
"Schinnen";"0962";"VO-31-04";"148087"
"Schouwen-Duiveland";"1676";"VO-29-02";"135568"
"Simpelveld";"0965";"VO-31-06";"270927"
"Sint Anthonis";"1702";"VO-25-07";"450773"
"Sint-Michielsgestel";"0845";"VO-30-05";"324064"
"Sint-Oedenrode";"0846";"VO-30-06";"231641"
"Sittard-Geleen";"1883";"VO-31-04";"148087"
"Sliedrecht";"0610";"VO-28-13";"150446"
