"Gemeente";"CBS";"Veilig Thuis regio's";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Drenthe";"0"
"Aalburg";"0738";"West-brabant";"0"
"Aalsmeer";"0358";"Amsterdam-Amstelland";"0"
"Aalten";"0197";"Noord- en Oost-Gelderland";"0"
"Achtkarspelen";"0059";"Friesland";"0"
"Alblasserdam";"0482";"Zuid-Holland-Zuid";"0"
"Albrandswaard";"0613";"Rotterdam-Rijnmond";"0"
"Alkmaar";"0361";"Noord-Holland Noord";"0"
"Almelo";"0141";"Twente";"0"
"Almere";"0034";"Flevoland";"0"
"Alphen aan den Rijn";"0484";"Hollands-Midden";"0"
"Alphen-Chaam";"1723";"West-brabant";"0"
"Ameland";"0060";"Friesland";"0"
"Amersfoort";"0307";"Utrecht";"0"
"Amstelveen";"0362";"Amsterdam-Amstelland";"0"
"Amsterdam";"0363";"Amsterdam-Amstelland";"0"
"Apeldoorn";"0200";"Noord- en Oost-Gelderland";"0"
"Appingedam";"0003";"Groningen";"0"
"Arnhem";"0202";"Gelderland-Midden";"0"
"Assen";"0106";"Drenthe";"0"
"Asten";"0743";"Zuidoost-Brabant";"0"
"Baarle-Nassau";"0744";"West-brabant";"0"
"Baarn";"0308";"Utrecht";"0"
"Barendrecht";"0489";"Rotterdam-Rijnmond";"0"
"Barneveld";"0203";"Gelderland-Midden";"0"
"Bedum";"0005";"Groningen";"0"
"Beek";"0888";"Zuid-Limburg";"0"
"Beemster";"0370";"Zaanstreek-Waterland";"0"
"Beesel";"0889";"Noord- en Midden Limburg";"0"
"Bellingwedde";"0007";"Groningen";"0"
"Berg en Dal";"1945";"Gelderland-Zuid";"0"
"Bergeijk";"1724";"Zuidoost-Brabant";"0"
"Bergen (L)";"0893";"Noord- en Midden Limburg";"0"
"Bergen (NH)";"0373";"Noord-Holland Noord";"0"
"Bergen op Zoom";"0748";"West-brabant";"0"
"Berkelland";"1859";"Noord- en Oost-Gelderland";"0"
"Bernheze";"1721";"Noord-Brabant Noord";"0"
"Best";"0753";"Zuidoost-Brabant";"0"
"Beuningen";"0209";"Gelderland-Zuid";"0"
"Beverwijk";"0375";"Kennemerland";"0"
"Binnenmaas";"0585";"Zuid-Holland-Zuid";"0"
"Bladel";"1728";"Zuidoost-Brabant";"0"
"Blaricum";"0376";"Gooi en Vechtstreek";"0"
"Bloemendaal";"0377";"Kennemerland";"0"
"Bodegraven-Reeuwijk";"1901";"Hollands-Midden";"0"
"Boekel";"0755";"Noord-Brabant Noord";"0"
"Borger-Odoorn";"1681";"Drenthe";"0"
"Borne";"0147";"Twente";"0"
"Borsele";"0654";"Zeeland";"0"
"Boxmeer";"0756";"Noord-Brabant Noord";"0"
"Boxtel";"0757";"Noord-Brabant Noord";"0"
"Breda";"0758";"West-brabant";"0"
"Brielle";"0501";"Rotterdam-Rijnmond";"0"
"Bronckhorst";"1876";"Noord- en Oost-Gelderland";"0"
"Brummen";"0213";"Noord- en Oost-Gelderland";"0"
"Brunssum";"0899";"Zuid-Limburg";"0"
"Bunnik";"0312";"Utrecht";"0"
"Bunschoten";"0313";"Utrecht";"0"
"Buren";"0214";"Gelderland-Zuid";"0"
"Capelle aan den IJssel";"0502";"Rotterdam-Rijnmond";"0"
"Castricum";"0383";"Noord-Holland Noord";"0"
"Coevorden";"0109";"Drenthe";"0"
"Cranendonck";"1706";"Zuidoost-Brabant";"0"
"Cromstrijen";"0611";"Zuid-Holland-Zuid";"0"
"Cuijk";"1684";"Noord-Brabant Noord";"0"
"Culemborg";"0216";"Gelderland-Zuid";"0"
"Dalfsen";"0148";"IJsselland";"0"
"Dantumadiel";"1891";"Friesland";"0"
"De Bilt";"0310";"Utrecht";"0"
"De Fryske Marren";"1940";"Friesland";"0"
"De Marne";"1663";"Groningen";"0"
"De Ronde Venen";"0736";"Utrecht";"0"
"De Wolden";"1690";"Drenthe";"0"
"Delft";"0503";"Haaglanden";"0"
"Delfzijl";"0010";"Groningen";"0"
"Den Helder";"0400";"Noord-Holland Noord";"0"
"Deurne";"0762";"Zuidoost-Brabant";"0"
"Deventer";"0150";"IJsselland";"0"
"Diemen";"0384";"Amsterdam-Amstelland";"0"
"Dinkelland";"1774";"Twente";"0"
"Doesburg";"0221";"Gelderland-Midden";"0"
"Doetinchem";"0222";"Noord- en Oost-Gelderland";"0"
"Dongen";"0766";"Noord-Brabant Midden";"0"
"Dongeradeel";"0058";"Friesland";"0"
"Dordrecht";"0505";"Zuid-Holland-Zuid";"0"
"Drechterland";"0498";"Noord-Holland Noord";"0"
"Drimmelen";"1719";"West-brabant";"0"
"Dronten";"0303";"Flevoland";"0"
"Druten";"0225";"Gelderland-Zuid";"0"
"Duiven";"0226";"Gelderland-Midden";"0"
"Echt-Susteren";"1711";"Noord- en Midden Limburg";"0"
"Edam-Volendam";"0385";"Zaanstreek-Waterland";"0"
"Ede";"0228";"Gelderland-Midden";"0"
"Eemnes";"0317";"Utrecht";"0"
"Eemsmond";"1651";"Groningen";"0"
"Eersel";"0770";"Zuidoost-Brabant";"0"
"Eijsden-Margraten";"1903";"Zuid-Limburg";"0"
"Eindhoven";"0772";"Zuidoost-Brabant";"0"
"Elburg";"0230";"Noord- en Oost-Gelderland";"0"
"Emmen";"0114";"Drenthe";"0"
"Enkhuizen";"0388";"Noord-Holland Noord";"0"
"Enschede";"0153";"Twente";"0"
"Epe";"0232";"Noord- en Oost-Gelderland";"0"
"Ermelo";"0233";"Noord- en Oost-Gelderland";"0"
"Etten-Leur";"0777";"West-brabant";"0"
"Ferwerderadiel";"1722";"Friesland";"0"
"Franekeradeel";"0070";"Friesland";"0"
"Geertruidenberg";"0779";"West-brabant";"0"
"Geldermalsen";"0236";"Gelderland-Zuid";"0"
"Geldrop-Mierlo";"1771";"Zuidoost-Brabant";"0"
"Gemert-Bakel";"1652";"Zuidoost-Brabant";"0"
"Gennep";"0907";"Noord- en Midden Limburg";"0"
"Giessenlanden";"0689";"Zuid-Holland-Zuid";"0"
