"Gemeente";"CBS";"Regionaal Informatie en Expertise Centra";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"RIEC Noord";"1719039"
"Aalburg";"0738";"RIEC Zuid-West Nederland";"1471846"
"Aalsmeer";"0358";"RIEC Amsterdam";"1008808"
"Aalten";"0197";"RIEC Oost-Nederland";"3167052"
"Achtkarspelen";"0059";"RIEC Noord";"1719039"
"Alblasserdam";"0482";"RIEC Rotterdam";"1764400"
"Albrandswaard";"0613";"RIEC Rotterdam";"1764400"
"Alkmaar";"0361";"RIEC Noord-Holland";"1506815"
"Almelo";"0141";"RIEC Oost-Nederland";"3167052"
"Almere";"0034";"RIEC Midden Nederland";"1911552"
"Alphen aan den Rijn";"0484";"RIEC Haaglanden / Hollands Midden";"1836384"
"Alphen-Chaam";"1723";"RIEC Zuid-West Nederland";"1471846"
"Ameland";"0060";"RIEC Noord";"1719039"
"Amersfoort";"0307";"RIEC Midden Nederland";"1911552"
"Amstelveen";"0362";"RIEC Amsterdam";"1008808"
"Amsterdam";"0363";"RIEC Amsterdam";"1008808"
"Apeldoorn";"0200";"RIEC Oost-Nederland";"3167052"
"Appingedam";"0003";"RIEC Noord";"1719039"
"Arnhem";"0202";"RIEC Oost-Nederland";"3167052"
"Assen";"0106";"RIEC Noord";"1719039"
"Asten";"0743";"RIEC Oost Brabant";"1398196"
"Baarle-Nassau";"0744";"RIEC Zuid-West Nederland";"1471846"
"Baarn";"0308";"RIEC Midden Nederland";"1911552"
"Barendrecht";"0489";"RIEC Rotterdam";"1764400"
"Barneveld";"0203";"RIEC Oost-Nederland";"3167052"
"Bedum";"0005";"RIEC Noord";"1719039"
"Beek";"0888";"RIEC Limburg";"1118054"
"Beemster";"0370";"RIEC Noord-Holland";"1506815"
"Beesel";"0889";"RIEC Limburg";"1118054"
"Bellingwedde";"0007";"RIEC Noord";"1719039"
"Berg en Dal";"1945";"RIEC Oost-Nederland";"3167052"
"Bergeijk";"1724";"RIEC Oost Brabant";"1398196"
"Bergen (L)";"0893";"RIEC Limburg";"1118054"
"Bergen (NH)";"0373";"RIEC Noord-Holland";"1506815"
"Bergen op Zoom";"0748";"RIEC Zuid-West Nederland";"1471846"
"Berkelland";"1859";"RIEC Oost-Nederland";"3167052"
"Bernheze";"1721";"RIEC Oost Brabant";"1398196"
"Best";"0753";"RIEC Oost Brabant";"1398196"
"Beuningen";"0209";"RIEC Oost-Nederland";"3167052"
"Beverwijk";"0375";"RIEC Noord-Holland";"1506815"
"Binnenmaas";"0585";"RIEC Rotterdam";"1764400"
"Bladel";"1728";"RIEC Oost Brabant";"1398196"
"Blaricum";"0376";"RIEC Midden Nederland";"1911552"
"Bloemendaal";"0377";"RIEC Noord-Holland";"1506815"
"Bodegraven-Reeuwijk";"1901";"RIEC Haaglanden / Hollands Midden";"1836384"
"Boekel";"0755";"RIEC Oost Brabant";"1398196"
"Borger-Odoorn";"1681";"RIEC Noord";"1719039"
"Borne";"0147";"RIEC Oost-Nederland";"3167052"
"Borsele";"0654";"RIEC Zuid-West Nederland";"1471846"
"Boxmeer";"0756";"RIEC Oost Brabant";"1398196"
"Boxtel";"0757";"RIEC Oost Brabant";"1398196"
"Breda";"0758";"RIEC Zuid-West Nederland";"1471846"
"Brielle";"0501";"RIEC Rotterdam";"1764400"
"Bronckhorst";"1876";"RIEC Oost-Nederland";"3167052"
"Brummen";"0213";"RIEC Oost-Nederland";"3167052"
"Brunssum";"0899";"RIEC Limburg";"1118054"
"Bunnik";"0312";"RIEC Midden Nederland";"1911552"
"Bunschoten";"0313";"RIEC Midden Nederland";"1911552"
"Buren";"0214";"RIEC Oost-Nederland";"3167052"
"Capelle aan den IJssel";"0502";"RIEC Rotterdam";"1764400"
"Castricum";"0383";"RIEC Noord-Holland";"1506815"
"Coevorden";"0109";"RIEC Noord";"1719039"
"Cranendonck";"1706";"RIEC Oost Brabant";"1398196"
"Cromstrijen";"0611";"RIEC Rotterdam";"1764400"
"Cuijk";"1684";"RIEC Oost Brabant";"1398196"
"Culemborg";"0216";"RIEC Oost-Nederland";"3167052"
"Dalfsen";"0148";"RIEC Oost-Nederland";"3167052"
"Dantumadiel";"1891";"RIEC Noord";"1719039"
"De Bilt";"0310";"RIEC Midden Nederland";"1911552"
"De Fryske Marren";"1940";"RIEC Noord";"1719039"
"De Marne";"1663";"RIEC Noord";"1719039"
"De Ronde Venen";"0736";"RIEC Midden Nederland";"1911552"
"De Wolden";"1690";"RIEC Noord";"1719039"
"Delft";"0503";"RIEC Haaglanden / Hollands Midden";"1836384"
"Delfzijl";"0010";"RIEC Noord";"1719039"
"Den Helder";"0400";"RIEC Noord-Holland";"1506815"
"Deurne";"0762";"RIEC Oost Brabant";"1398196"
"Deventer";"0150";"RIEC Oost-Nederland";"3167052"
"Diemen";"0384";"RIEC Amsterdam";"1008808"
"Dinkelland";"1774";"RIEC Oost-Nederland";"3167052"
"Doesburg";"0221";"RIEC Oost-Nederland";"3167052"
"Doetinchem";"0222";"RIEC Oost-Nederland";"3167052"
"Dongen";"0766";"RIEC Zuid-West Nederland";"1471846"
"Dongeradeel";"0058";"RIEC Noord";"1719039"
"Dordrecht";"0505";"RIEC Rotterdam";"1764400"
"Drechterland";"0498";"RIEC Noord-Holland";"1506815"
"Drimmelen";"1719";"RIEC Zuid-West Nederland";"1471846"
"Dronten";"0303";"RIEC Midden Nederland";"1911552"
"Druten";"0225";"RIEC Oost-Nederland";"3167052"
"Duiven";"0226";"RIEC Oost-Nederland";"3167052"
"Echt-Susteren";"1711";"RIEC Limburg";"1118054"
"Edam-Volendam";"0385";"RIEC Noord-Holland";"1506815"
"Ede";"0228";"RIEC Oost-Nederland";"3167052"
"Eemnes";"0317";"RIEC Midden Nederland";"1911552"
"Eemsmond";"1651";"RIEC Noord";"1719039"
"Eersel";"0770";"RIEC Oost Brabant";"1398196"
"Eijsden-Margraten";"1903";"RIEC Limburg";"1118054"
"Eindhoven";"0772";"RIEC Oost Brabant";"1398196"
"Elburg";"0230";"RIEC Oost-Nederland";"3167052"
"Emmen";"0114";"RIEC Noord";"1719039"
"Enkhuizen";"0388";"RIEC Noord-Holland";"1506815"
"Enschede";"0153";"RIEC Oost-Nederland";"3167052"
"Epe";"0232";"RIEC Oost-Nederland";"3167052"
"Ermelo";"0233";"RIEC Oost-Nederland";"3167052"
"Etten-Leur";"0777";"RIEC Zuid-West Nederland";"1471846"
"Ferwerderadiel";"1722";"RIEC Noord";"1719039"
"Franekeradeel";"0070";"RIEC Noord";"1719039"
"Geertruidenberg";"0779";"RIEC Zuid-West Nederland";"1471846"
"Geldermalsen";"0236";"RIEC Oost-Nederland";"3167052"
"Geldrop-Mierlo";"1771";"RIEC Oost Brabant";"1398196"
"Gemert-Bakel";"1652";"RIEC Oost Brabant";"1398196"
"Gennep";"0907";"RIEC Limburg";"1118054"
"Giessenlanden";"0689";"RIEC Rotterdam";"1764400"
"Gilze en Rijen";"0784";"RIEC Zuid-West Nederland";"1471846"
"Goeree-Overflakkee";"1924";"RIEC Rotterdam";"1764400"
"Goes";"0664";"RIEC Zuid-West Nederland";"1471846"
"Goirle";"0785";"RIEC Zuid-West Nederland";"1471846"
"Gooise Meren";"1942";"RIEC Midden Nederland";"1911552"
"Gorinchem";"0512";"RIEC Rotterdam";"1764400"
"Gouda";"0513";"RIEC Haaglanden / Hollands Midden";"1836384"
"Grave";"0786";"RIEC Oost Brabant";"1398196"
"'s-Gravenhage";"0518";"RIEC Haaglanden / Hollands Midden";"1836384"
"Groningen";"0014";"RIEC Noord";"1719039"
"Grootegast";"0015";"RIEC Noord";"1719039"
"Gulpen-Wittem";"1729";"RIEC Limburg";"1118054"
"Haaksbergen";"0158";"RIEC Oost-Nederland";"3167052"
"Haaren";"0788";"RIEC Oost Brabant";"1398196"
"Haarlem";"0392";"RIEC Noord-Holland";"1506815"
"Haarlemmerliede en Spaarnwoude";"0393";"RIEC Noord-Holland";"1506815"
"Haarlemmermeer";"0394";"RIEC Noord-Holland";"1506815"
"Halderberge";"1655";"RIEC Zuid-West Nederland";"1471846"
"Hardenberg";"0160";"RIEC Oost-Nederland";"3167052"
"Harderwijk";"0243";"RIEC Oost-Nederland";"3167052"
"Hardinxveld-Giessendam";"0523";"RIEC Rotterdam";"1764400"
"Haren";"0017";"RIEC Noord";"1719039"
"Harlingen";"0072";"RIEC Noord";"1719039"
"Hattem";"0244";"RIEC Oost-Nederland";"3167052"
"Heemskerk";"0396";"RIEC Noord-Holland";"1506815"
"Heemstede";"0397";"RIEC Noord-Holland";"1506815"
"Heerde";"0246";"RIEC Oost-Nederland";"3167052"
"Heerenveen";"0074";"RIEC Noord";"1719039"
"Heerhugowaard";"0398";"RIEC Noord-Holland";"1506815"
"Heerlen";"0917";"RIEC Limburg";"1118054"
"Heeze-Leende";"1658";"RIEC Oost Brabant";"1398196"
"Heiloo";"0399";"RIEC Noord-Holland";"1506815"
"Hellendoorn";"0163";"RIEC Oost-Nederland";"3167052"
"Hellevoetsluis";"0530";"RIEC Rotterdam";"1764400"
"Helmond";"0794";"RIEC Oost Brabant";"1398196"
"Hendrik-Ido-Ambacht";"0531";"RIEC Rotterdam";"1764400"
"Hengelo (O)";"0164";"RIEC Oost-Nederland";"3167052"
"'s-Hertogenbosch";"0796";"RIEC Oost Brabant";"1398196"
"het Bildt";"0063";"RIEC Noord";"1719039"
"Heumen";"0252";"RIEC Oost-Nederland";"3167052"
"Heusden";"0797";"RIEC Oost Brabant";"1398196"
"Hillegom";"0534";"RIEC Haaglanden / Hollands Midden";"1836384"
"Hilvarenbeek";"0798";"RIEC Zuid-West Nederland";"1471846"
"Hilversum";"0402";"RIEC Midden Nederland";"1911552"
"Hof van Twente";"1735";"RIEC Oost-Nederland";"3167052"
"Hollands Kroon";"1911";"RIEC Noord-Holland";"1506815"
"Hoogeveen";"0118";"RIEC Noord";"1719039"
"Hoogezand-Sappemeer";"0018";"RIEC Noord";"1719039"
"Hoorn";"0405";"RIEC Noord-Holland";"1506815"
"Horst aan de Maas";"1507";"RIEC Limburg";"1118054"
"Houten";"0321";"RIEC Midden Nederland";"1911552"
"Huizen";"0406";"RIEC Midden Nederland";"1911552"
"Hulst";"0677";"RIEC Zuid-West Nederland";"1471846"
"IJsselstein";"0353";"RIEC Midden Nederland";"1911552"
"Kaag en Braassem";"1884";"RIEC Haaglanden / Hollands Midden";"1836384"
"Kampen";"0166";"RIEC Oost-Nederland";"3167052"
"Kapelle";"0678";"RIEC Zuid-West Nederland";"1471846"
