"Gemeente";"CBS";"VPT-regio's 2014";"Inwoneraantal van regio"
"Aa en Hunze";"1680";"Noord Nederland";"1719039"
"Aalburg";"0738";"Zuid-West Nederland";"1471846"
"Aalsmeer";"0358";"Amsterdam";"1008808"
"Aalten";"0197";"Noord- en Oost-Gelderland";"812224"
"Achtkarspelen";"0059";"Noord Nederland";"1719039"
"Alblasserdam";"0482";"Zuid-Holland-Zuid";"484986"
"Albrandswaard";"0613";"Rotterdam";"1279414"
"Alkmaar";"0361";"Noord-Holland";"1506815"
"Almelo";"0141";"Twente";"626009"
"Almere";"0034";"Midden Nederland";"1911552"
"Alphen aan den Rijn";"0484";"Hollands-Midden";"774476"
"Alphen-Chaam";"1723";"Zuid-West Nederland";"1471846"
"Ameland";"0060";"Noord Nederland";"1719039"
"Amersfoort";"0307";"Midden Nederland";"1911552"
"Amstelveen";"0362";"Amsterdam";"1008808"
"Amsterdam";"0363";"Amsterdam";"1008808"
"Apeldoorn";"0200";"Noord- en Oost-Gelderland";"812224"
"Appingedam";"0003";"Noord Nederland";"1719039"
"Arnhem";"0202";"Gelderland-Midden";"670924"
"Assen";"0106";"Noord Nederland";"1719039"
"Asten";"0743";"Oost-Brabant";"1398196"
"Baarle-Nassau";"0744";"Zuid-West Nederland";"1471846"
"Baarn";"0308";"Midden Nederland";"1911552"
"Barendrecht";"0489";"Rotterdam";"1279414"
"Barneveld";"0203";"Gelderland-Midden";"670924"
"Bedum";"0005";"Noord Nederland";"1719039"
"Beek";"0888";"Limburg";"1118054"
"Beemster";"0370";"Noord-Holland";"1506815"
"Beesel";"0889";"Limburg";"1118054"
"Bellingwedde";"0007";"Noord Nederland";"1719039"
"Berg en Dal";"1945";"Gelderland-Zuid";"543245"
"Bergeijk";"1724";"Oost-Brabant";"1398196"
"Bergen (L)";"0893";"Limburg";"1118054"
"Bergen (NH)";"0373";"Noord-Holland";"1506815"
"Bergen op Zoom";"0748";"Zuid-West Nederland";"1471846"
"Berkelland";"1859";"Noord- en Oost-Gelderland";"812224"
"Bernheze";"1721";"Oost-Brabant";"1398196"
"Best";"0753";"Oost-Brabant";"1398196"
"Beuningen";"0209";"Gelderland-Zuid";"543245"
"Beverwijk";"0375";"Noord-Holland";"1506815"
"Binnenmaas";"0585";"Zuid-Holland-Zuid";"484986"
"Bladel";"1728";"Oost-Brabant";"1398196"
"Blaricum";"0376";"Midden Nederland";"1911552"
"Bloemendaal";"0377";"Noord-Holland";"1506815"
"Bodegraven-Reeuwijk";"1901";"Hollands-Midden";"774476"
"Boekel";"0755";"Oost-Brabant";"1398196"
"Borger-Odoorn";"1681";"Noord Nederland";"1719039"
"Borne";"0147";"Twente";"626009"
"Borsele";"0654";"Zuid-West Nederland";"1471846"
"Boxmeer";"0756";"Oost-Brabant";"1398196"
"Boxtel";"0757";"Oost-Brabant";"1398196"
"Breda";"0758";"Zuid-West Nederland";"1471846"
"Brielle";"0501";"Rotterdam";"1279414"
"Bronckhorst";"1876";"Noord- en Oost-Gelderland";"812224"
"Brummen";"0213";"Noord- en Oost-Gelderland";"812224"
"Brunssum";"0899";"Limburg";"1118054"
"Bunnik";"0312";"Midden Nederland";"1911552"
"Bunschoten";"0313";"Midden Nederland";"1911552"
"Buren";"0214";"Gelderland-Zuid";"543245"
