lrknummer,naam,type,gemeente,bezoekdatum,jaar,kleur,kvk_vestiging,adres,postcode,plaats,Longitude,Latitude,lrk_url,houder/_text,houder_vanaf,geschillencommissie,kindplaatsen,soort,status
105897917,Kinderopvang MaiKids Amsterdam B.V.,BSO,Amsterdam,2-01-12,2012,oranje,16014979,Laan van Vlaanderen 143,1066JM,Amsterdam,4.8165584,52.3452006,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31043,Kinderopvang MaiKids Amsterdam B.V.,01/01/2005,Aangesloten per 17-12-2015,90,Buitenschoolse opvang,
766086355,BSO de Bongerd,BSO,Amsterdam,2-01-12,2012,geel,,Boomgaardlaan 102,1036KJ,Amsterdam,4.9027093,52.4085219,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31318,,,,,,Niet meer geregistreerd
608290622,Het Middenhonk B.V.,BSO,Amsterdam,2-01-12,2012,geel,15982742,Middenweg 90 H,1097BS,Amsterdam,4.9360254,52.3500121,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=31219,Het Middenhonk BV,01/01/2005,Aangesloten per 18-01-2016,40,Buitenschoolse opvang,
924087894,Baboffel Pretzolder,KDV,Amsterdam,6-01-12,2012,geel,,Nieuwe Kerkstraat 159,1018VL,Amsterdam,4.9090323,52.3652395,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=30779,,,,,,Niet meer geregistreerd
127957030,Kindercentrum Gaya B.V.,BSO,Amsterdam,6-01-12,2012,oranje,,Asterweg 20 n 1,1031HN,Amsterdam,4.9041148,52.3907626,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Bso/GegevensOKO.jsf?selectedResultId=80690,,,,,,Niet meer geregistreerd
214185928,KDV + NSO Panorama,KDV,Amsterdam,8-01-12,2012,rood,,Tosaristraat 30,1019RT,Amsterdam,4.9227898,52.3792162,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=31948,,,,,,Niet meer geregistreerd
719080009,De Vrijbuitertjes,PSZ,Amsterdam,10-01-12,2012,geel,,Dorpsstraat Holysloot 40,1028BE,Amsterdam,5.0258461,52.4133509,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Psz/GegevensOKO.jsf?selectedResultId=95710,,,,,,Niet meer geregistreerd
206586152,Hortenz 'Haardstee',KDV,Amsterdam,13-01-12,2012,rood,,Haardstee 11 15,1102NA,Amsterdam,4.9519139,52.310951,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32236,,,,,,Niet meer geregistreerd
142785131,Kindercentrum Tante Dulce,KDV,Amsterdam,13-01-12,2012,rood,,Heesterveld 228,1102SC,Amsterdam,4.9554446,52.3061076,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32411,,,,,,Niet meer geregistreerd (met tijdelijk exploitatieverbod)
193312104,Small Society De Keizer,KDV,Amsterdam,13-01-12,2012,oranje,,Bert Haanstrakade 2010,1087HR,Amsterdam,5.00841287833333,52.352591,http://www.landelijkregisterkinderopvang.nl/pp/inzien/Oko/Kdv/GegevensOKO.jsf?selectedResultId=32327,,,,,,Niet meer geregistreerd
