Agentschap,Jaar,Dep.,FTE (in aantallen)
DPC,2009,AZ,"159,5"
CBI,2009,BuZa,16
BPR,2009,BZK,87
CAS,2009,BZK,"70,5"
CFI,2009,BZK,384
KLPD,2009,BZK,"4959,7"
LFR,2009,BZK,41
P-Direkt,2009,BZK,93
RGD,2009,BZK,966
UBR,2009,BZK,516
DTO,2009,DEF,2178
DVD,2009,DEF,1412
Paresto,2009,DEF,1285
AID,2009,EZ,529
AT,2009,EZ,266
Dictu,2009,EZ,297
DLG,2009,EZ,1352
DR,2009,EZ,1081
EVD,2009,EZ,479
Octr. Centrum,2009,EZ,119
PD,2009,EZ,"105,7396364"
Senter/Novem,2009,EZ,1765
VWA,2009,EZ,200
DRZ,2009,FIN,88
RVOB,2009,FIN,238
ILT,2009,IenM,"916,6"
KNMI,2009,IenM,485
NEA,2009,IenM,43
RWS,2009,IenM,9202
NA,2009,OCW,"133,4"
ASZW,2009,SZW,133
IWI,2009,SZW,"156,3"
CJIB,2009,VenJ,913
DJI,2009,VenJ,17221
GDI,2009,VenJ,162
IND,2009,VenJ,3199
Justis,2009,VenJ,219
NFI,2009,VenJ,516
ACBG,2009,VWS,185
Almata,2009,VWS,235
CIBG,2009,VWS,206
Lindenhorst,2009,VWS,112
NVI,2009,VWS,397
RIVM,2009,VWS,"1378,4"
DPC,2010,AZ,"136,5"
CBI,2010,BuZa,15
BPR,2010,BZK,81
CAS,2010,BZK,"70,3"
DHC,2010,BZK,62
FMH,2010,BZK,206
KLPD,2010,BZK,4933
LFR,2010,BZK,47
Logius,2010,BZK,82
P-Direkt,2010,BZK,377
RGD,2010,BZK,927
UBR,2010,BZK,639
DTO,2010,DEF,2181
DVD,2010,DEF,1408
Paresto,2010,DEF,1195
AGNL,2010,EZ,"2451,5"
AID,2010,EZ,"504,7258182"
AT,2010,EZ,277
Dictu,2010,EZ,284
DLG,2010,EZ,1278
DR,2010,EZ,1064
PD,2010,EZ,"133,2850909"
VWA,2010,EZ,"245,1752727"
DRZ,2010,FIN,81
RVOB,2010,FIN,232
ILT,2010,IenM,"838,6"
KNMI,2010,IenM,426
NEA,2010,IenM,"41,67"
RWS,2010,IenM,9298
DUO,2010,OCW,1788
NA,2010,OCW,"127,08"
ASZW,2010,SZW,149
IWI,2010,SZW,"125,7"
CJIB,2010,VenJ,929
DJI,2010,VenJ,16698
GDI,2010,VenJ,176
IND,2010,VenJ,3110
Justis,2010,VenJ,234
NFI,2010,VenJ,524
ACBG,2010,VWS,187
Almata,2010,VWS,272
CIBG,2010,VWS,226
Lindenhorst,2010,VWS,112
NVI,2010,VWS,367
RIVM,2010,VWS,"1346,7"
DPC,2011,AZ,"136,7"
CBI,2011,BuZa,12
BPR,2011,BZK,70
CAS,2011,BZK,0
DHC,2011,BZK,74
Doc-Direkt,2011,BZK,"243,53"
FMH,2011,BZK,"283,9"
IND,2011,BZK,2924
Logius,2011,BZK,110
P-Direkt,2011,BZK,432
RGD,2011,BZK,873
UBR,2011,BZK,578
DTO,2011,DEF,2062
DVD,2011,DEF,1008
Paresto,2011,DEF,1085
AGNL,2011,EZ,"2169,2"
AT,2011,EZ,270
Dictu,2011,EZ,275
DLG,2011,EZ,1117
DR,2011,EZ,976
NVWA,2011,EZ,2347
DRZ,2011,FIN,90
RVOB,2011,FIN,"228,5"
ILT,2011,IenM,"759,6"
KNMI,2011,IenM,393
NEA,2011,IenM,"38,1"
RWS,2011,IenM,8919
DUO,2011,OCW,1728
NA,2011,OCW,130
ASZW,2011,SZW,138
IWI,2011,SZW,114
CJIB,2011,VenJ,943
DJI,2011,VenJ,16285
GDI,2011,VenJ,"178,5"
Justis,2011,VenJ,"237,5"
KLPD,2011,VenJ,5162
NFI,2011,VenJ,537
ACBG,2011,VWS,233
Almata,2011,VWS,278
CIBG,2011,VWS,224
Lindenhorst,2011,VWS,107
NVI,2011,VWS,197
RIVM,2011,VWS,"1434,4"
DPC,2012,AZ,"127,1"
CBI,2012,BuZa,12
BPR,2012,BZK,96
DHC,2012,BZK,66
FMH,2012,BZK,"350,7"
IND,2012,BZK,2916
Logius,2012,BZK,125
P-Direkt,2012,BZK,425
RGD,2012,BZK,794
UBR,2012,BZK,762
DTO,2012,DEF,1836
DVD,2012,DEF,849
Paresto,2012,DEF,1024
AGNL,2012,EZ,"1948,2"
AT,2012,EZ,257
Dictu,2012,EZ,323
DLG,2012,EZ,1042
DR,2012,EZ,972
NVWA,2012,EZ,2168
DRZ,2012,FIN,"97,6"
RVOB,2012,FIN,"217,3"
ILT,2012,IenM,"1120,2"
KNMI,2012,IenM,383
NEA,2012,IenM,"35,84"
RWS,2012,IenM,8640
DUO,2012,OCW,1732
NA,2012,OCW,"127,8"
ASZW,2012,SZW,128
IWI,2012,SZW,83
CJIB,2012,VenJ,942
DJI,2012,VenJ,16140
GDI,2012,VenJ,"189,7"
Justis,2012,VenJ,233
KLPD,2012,VenJ,5096
NFI,2012,VenJ,555
ACBG,2012,VWS,259
Almata,2012,VWS,205
CIBG,2012,VWS,"218,2"
Lindenhorst,2012,VWS,"75,3"
NVI,2012,VWS,108
RIVM,2012,VWS,"1457,3"
DPC,2013,AZ,"141,1"
CBI,2013,BuZa,12
BPR,2013,BZK,95
DHC,2013,BZK,62
FMH,2013,BZK,361
Logius,2013,BZK,143
P-Direkt,2013,BZK,421
RGD,2013,BZK,766
RVOB,2013,BZK,"208,6"
SSC-ICT,2013,BZK,"348,5"
UBR,2013,BZK,820
DTO,2013,DEF,1760
DVD,2013,DEF,859
Paresto,2013,DEF,860
AGNL,2013,EZ,"1672,4"
AT,2013,EZ,237
Dictu,2013,EZ,371
DLG,2013,EZ,963
DR,2013,EZ,972
NVWA,2013,EZ,2163
DRZ,2013,FIN,98
ILT,2013,IenM,1119
KNMI,2013,IenM,358
NEA,2013,IenM,"40,7"
RWS,2013,IenM,8506
DUO,2013,OCW,1770
NA,2013,OCW,"137,43"
ASZW,2013,SZW,116
IWI,2013,SZW,"80,8"
CJIB,2013,VenJ,916
DJI,2013,VenJ,15943
GDI,2013,VenJ,"195,7"
IND,2013,VenJ,3008
Justis,2013,VenJ,"245,2"
NFI,2013,VenJ,560
ACBG,2013,VWS,261
Almata,2013,VWS,96
CIBG,2013,VWS,"204,1"
Lindenhorst,2013,VWS,"133,8"
RIVM,2013,VWS,"1344,3"
DPC,2014,AZ,"136,2"
CBI,2014,BuZa,15
BPR,2014,BZK,119
DHC,2014,BZK,66
FMH,2014,BZK,414
GDI,2014,BZK,212
Logius,2014,BZK,194
P-Direkt,2014,BZK,409
RGD,2014,BZK,737
RVOB,2014,BZK,201
SSC-ICT,2014,BZK,"357,2"
UBR,2014,BZK,875
DTO,2014,DEF,1593
DVD,2014,DEF,855
Paresto,2014,DEF,794
AT,2014,EZ,"248,4"
Dictu,2014,EZ,429
DLG,2014,EZ,763
NVWA,2014,EZ,2229
RVO,2014,EZ,2611
DRZ,2014,FIN,"116,3"
ILT,2014,IenM,1171
KNMI,2014,IenM,354
NEA,2014,IenM,"49,9"
RWS,2014,IenM,8430
DUO,2014,OCW,1773
NA,2014,OCW,"171,8"
ASZW,2014,SZW,152
CJIB,2014,VenJ,893
DJI,2014,VenJ,15250
IND,2014,VenJ,2984
Justis,2014,VenJ,"237,5"
NFI,2014,VenJ,552
ACBG,2014,VWS,262
Almata,2014,VWS,0
CIBG,2014,VWS,209
Lindenhorst,2014,VWS,0
RIVM,2014,VWS,1377
DPC,2015,AZ,138
RVIG,2015,BZK,116
DHC,2015,BZK,70
FMH,2015,BZK,426
Logius,2015,BZK,224
P-Direkt,2015,BZK,509
RGD,2015,BZK,831
RVOB,2015,BZK,215
SSC-ICT,2015,BZK,650
UBR,2015,BZK,1045
DVD,2015,BZK,731
DTO,2015,DEF,1559
Paresto,2015,DEF,814
AT,2015,EZ,255
Dictu,2015,EZ,503
NVWA,2015,EZ,2485
RVO,2015,EZ,2815
ILT,2015,IenM,1135
KNMI,2015,IenM,358
NEA,2015,IenM,49
RWS,2015,IenM,8368
DUO,2015,OCW,1783
NA,2015,OCW,197
ASZW,2015,SZW,148
CJIB,2015,VenJ,892
DJI,2015,VenJ,14049
IND,2015,VenJ,2902
Justis,2015,VenJ,230
NFI,2015,VenJ,515
ACBG,2015,VWS,288
CIBG,2015,VWS,228
RIVM,2015,VWS,1487
