"cbsId","cbsIdCount","cbsName","cbsComment","cbsShort","cbsShortCount","cbsLong","cbsLongCount"
"GM1680","11","Aa en Hunze","","1680","5","Aa en  1680","1"
"GM0738","11","Aalburg","","0738","7","Aalbur 738","1"
"GM0358","11","Aalsmeer","","0358","7","Aalsme 358","1"
"GM0197","11","Aalten","","0197","7","Aalten 197","1"
"GM0059","11","Achtkarspelen","","0059","7","Achtka 59","1"
"GM0482","11","Alblasserdam","","0482","7","Alblas 482","1"
"GM0613","11","Albrandswaard","","0613","7","",""
"GM0361","12","Alkmaar","","0361","7","Alkmaa 361","1"
"GM0141","11","Almelo","","0141","7","Almelo 141","1"
"GM0034","13","Almere","","0034","7","Almere 34","1"
"GM0484","11","Alphen aan den Rijn","","0484","7","Alphen 484","1"
"GM1723","11","Alphen-Chaam","","1723","6","",""
"GM0060","11","Ameland","","0060","7","Amelan 60","1"
"GM0307","13","Amersfoort","","0307","7","Amersf 307","1"
"GM0362","11","Amstelveen","","0362","7","Amstel 362","1"
"GM0363S85","5","Amsterdam - Centrale Stad","","","","",""
"GM0363S56","4","Amsterdam - stadsdeel Centrum","","","","",""
"GM0363S90","4","Amsterdam - stadsdeel Nieuw-West","","","","",""
"GM0363S10","4","Amsterdam - stadsdeel Noord","","","","",""
"GM0363S88","4","Amsterdam - stadsdeel Oost","","","","",""
"GM0363S91","4","Amsterdam - stadsdeel West","","","","",""
"GM0363S89","4","Amsterdam - stadsdeel Zuid","","","","",""
"GM0363S17","4","Amsterdam - stadsdeel Zuidoost","","","","",""
"GM0200","13","Apeldoorn","","0200","7","Apeldo 200","1"
"GM0003","11","Appingedam","","0003","7","Apping 3","1"
"GM0202","13","Arnhem","","0202","7","Arnhem 202","1"
"GM0106","11","Assen","","0106","7","Assen 106","1"
"GM0743","11","Asten","","0743","7","Asten 743","1"
"GM0744","11","Baarle-Nassau","","0744","7","Baarle 744","1"
"GM0308","11","Baarn","","0308","7","Baarn 308","1"
"GM0489","11","Barendrecht","","0489","7","Barend 489","1"
"GM0203","11","Barneveld","","0203","7","Barnev 203","1"
"GM0005","11","Bedum","","0005","7","",""
"GM0888","7","Beek (L.)","Begindatum 02-01-1839","","","",""
"GM0370","11","Beemster","","0370","7","",""
"GM0889","11","Beesel","","0889","7","Beesel 889","1"
"GM0007","11","Bellingwedde","","0007","7","Bellin 7","1"
"GM0491","9","Bergambacht","","0491","7","",""
"GM1724","11","Bergeijk","","1724","4","",""
"GM0893","11","Bergen (L.)","","0893","2","Bergen 893","1"
"GM0373","11","Bergen (NH.)","","0373","2","Bergen 373","1"
"GM0748","11","Bergen op Zoom","","0748","7","Bergen 748","1"
"GM1859","7","Berkelland","Ontstaan per 01-01-2005","","","",""
"GM1721","11","Bernheze","","1721","7","Bernhe 1721","1"
"GM0568","9","Bernisse","","0568","7","",""
"GM0753","11","Best","","0753","7","Best 753","1"
"GM0209","11","Beuningen","","0209","7","",""
"GM0375","11","Beverwijk","","0375","7","Beverw 375","1"
"GM0063","7","het Bildt","","0063","7","het Bi 63","1"
"GM0310","11","De Bilt","","0310","7","De Bil 310","1"
"GM0585","11","Binnenmaas","","0585","7","",""
"GM1728","11","Bladel","","1728","6","Bladel 1728","1"
"GM0376","11","Blaricum","","0376","7","",""
"GM0377","11","Bloemendaal","","0377","7","Bloeme 377","1"
"GM0055","8","Boarnsterhim","","0055","7","Boarns 55","1"
"GM1901","6","Bodegraven-Reeuwijk","Ontstaan per 01-01-2011","","","",""
"GM0755","11","Boekel","","0755","7","",""
"GM0009","11","Ten Boer","","0009","7","",""
"GM1681","11","Borger-Odoorn","","1681","5","Borger 1681","1"
"GM0147","11","Borne","","0147","7","Borne 147","1"
"GM0654","11","Borsele","","0654","7","",""
"GM0499","8","Boskoop","","0499","7","Boskoo 499","1"
"GM0756","11","Boxmeer","","0756","7","Boxmee 756","1"
"GM0757","11","Boxtel","","0757","7","Boxtel 757","1"
"GM0758","13","Breda","","0758","7","Breda 758","1"
"GM0501","11","Brielle","","0501","7","Briell 501","1"
"GM1876","7","Bronckhorst","Ontstaan per 01-01-2005","","","",""
"GM0213","11","Brummen","","0213","7","Brumme 213","1"
"GM0899","11","Brunssum","","0899","7","Brunss 899","1"
"GM0312","11","Bunnik","","0312","7","",""
"GM0313","11","Bunschoten","","0313","7","",""
"GM0214","11","Buren","","0214","7","",""
"GM0381","10","Bussum","","0381","7","Bussum 381","1"
"GM0502","11","Capelle aan den IJssel","","0502","7","Capell 502","1"
"GM0383","11","Castricum","","0383","7","Castri 383","1"
"GM0109","11","Coevorden","","0109","7","Coevor 109","1"
"GM1706","11","Cranendonck","","1706","4","Cranen 1706","1"
"GM0611","11","Cromstrijen","","0611","7","Cromst 611","1"
"GM1684","11","Cuijk","","1684","7","Cuijk 1684","1"
"GM0216","11","Culemborg","","0216","7","Culemb 216","1"
"GM0148","11","Dalfsen","","0148","7","Dalfse 148","1"
"GM1891","7","Dantumadiel","Naamswijziging per 01-01-2009","","","",""
"GM0503","12","Delft","","0503","7","Delft 503","1"
"GM0010","11","Delfzijl","","0010","7","Delfzi 10","1"
"GM0762","11","Deurne","","0762","7","Deurne 762","1"
"GM0150","11","Deventer","","0150","7","Devent 150","1"
"GM0384","11","Diemen","","0384","7","",""
"GM1774","11","Dinkelland","Naamswijziging per 01-01-2003 oude naam: Denekamp.","","","",""
"GM0504","7","Dirksland","","0504","7","",""
"GM0221","11","Doesburg","","0221","7","Doesbu 221","1"
"GM0222","11","Doetinchem","","0222","7","Doetin 222","1"
"GM0766","11","Dongen","","0766","7","Dongen 766","1"
"GM0058","11","Dongeradeel","","0058","7","Donger 58","1"
"GM0505","13","Dordrecht","","0505","7","Dordre 505","1"
"GM0498","11","Drechterland","","0498","7","",""
"GM1719","11","Drimmelen","","1719","4","Drimme 1719","1"
"GM0303","11","Dronten","","0303","7","Dronte 303","1"
"GM0225","11","Druten","","0225","7","Druten 225","1"
"GM0226","11","Duiven","","0226","7","Duiven 226","1"
"GM1711","11","Echt-Susteren","Nieuw gevormd per 01-01-2003 uit: Echt, Susteren.","","","Echt-S 1711","1"
"GM0385","11","Edam-Volendam","","0385","7","Edam-V 385","1"
"GM0228","13","Ede","","0228","7","Ede 228","1"
"GM0317","11","Eemnes","","0317","7","",""
"GM1651","11","Eemsmond","","1651","7","Eemsmo 1651","1"
