"word","count"
"Geslacht","709"
"","33958"
"ReistijdOpleiding_1","1"
"AfstandNaarWerkplekTeGroot_2","1"
"GeschikteWoonruimteGevonden_3","1"
"WensOmZelfstandigTeZijn_4","1"
"VoldoendeGeldOmHetHuisUitTeGaan_5","1"
"WildeSamenwonenOfTrouwen_6","1"
"SfeerThuis_7","1"
"ReistijdOpleiding_8","1"
"AfstandNaarWerkplekTeGroot_9","1"
"RuimtegebrekThuis_10","1"
"SfeerThuis_11","1"
"WildeSamenwonenOfTrouwen_12","1"
"ThuisWasHetGoedkoper_13","1"
"ThuisBetereWoonruimte_14","1"
"GoedeSfeerThuis_15","1"
"VondZichzelfNogTeJong_16","1"
"OnzekerOverWerkOfInkomen_17","1"
"KonGeenGoedkopeWoonruimteVinden_18","1"
"ThuisWasHetGoedkoop_19","1"
"Leeftijd","493"
"Perioden","2991"
"Deelnemers_1","2"
"TotaalAanbod_1","10"
"WinningUitDeBodem_2","1"
"ProductieUitAndereBronnen_3","2"
"InvoerVanGasvormigAardgas_4","1"
"InvoerVanVloeibaarAardgasLng_5","1"
"UitvoerVanGasvormigAardgas_6","1"
"UitvoerVanVloeibaarAardgasLng_7","1"
"Voorraadmutatie_8","1"
"TotaalVerbruik_9","1"
"TotaalViaHetHoofdtransportnet_10","1"
"Elektriciteitscentrales_11","1"
"OverigeVerbruikers_12","1"
"ViaRegionaleNetten_13","1"
"VerbruikBijDeWinning_14","1"
"Fakkels_15","1"
"RegioS","555"
"Richting","1"
"BelangrijksteNederlandseZeehavens","1"
"TotaleVaart_1","1"
"Lijnvaart_2","1"
"Trampvaart_3","1"
"Tankvaart_4","1"
"TotaleVaart_5","1"
"Lijnvaart_6","1"
"Trampvaart_7","1"
"Tankvaart_8","1"
"TotaleVaart_9","1"
"Lijnvaart_10","1"
"Trampvaart_11","1"
"Tankvaart_12","1"
"TotaleVaart_13","1"
"Lijnvaart_14","1"
"Trampvaart_15","1"
"Tankvaart_16","1"
"TotaleLading_17","1"
"LandbouwproductenLevendeDieren_18","1"
"AndereVoedingsproducten_19","1"
"VasteBrandstoffen_20","1"
"AardolieEnAardolieproducten_21","1"
"ErtsenEnMetaalresiduen_22","1"
"MetalenHalffabrikaten_23","1"
"RuweMineralenBouwmaterialen_24","1"
"Meststoffen_25","1"
"ChemischeProducten_26","1"
"OverigeGoederenEnFabrikaten_27","1"
"TotaleLading_28","1"
"LandbouwproductenLevendeDieren_29","1"
"AndereVoedingsproducten_30","1"
"VasteBrandstoffen_31","1"
"AardolieEnAardolieproducten_32","1"
"ErtsenEnMetaalresiduen_33","1"
"MetalenHalffabrikaten_34","1"
"RuweMineralenBouwmaterialen_35","1"
"Meststoffen_36","1"
"ChemischeProducten_37","1"
"OverigeGoederenEnFabrikaten_38","1"
"TotaleLading_39","1"
"LandbouwproductenLevendeDieren_40","1"
"AndereVoedingsproducten_41","1"
"VasteBrandstoffen_42","1"
"AardolieEnAardolieproducten_43","1"
"ErtsenEnMetaalresiduen_44","1"
"MetalenHalffabrikaten_45","1"
"RuweMineralenBouwmaterialen_46","1"
"Meststoffen_47","1"
"ChemischeProducten_48","1"
"OverigeGoederenEnFabrikaten_49","1"
"TotaleLading_50","1"
"LandbouwproductenLevendeDieren_51","1"
"AndereVoedingsproducten_52","1"
"VasteBrandstoffen_53","1"
"AardolieEnAardolieproducten_54","1"
"ErtsenEnMetaalresiduen_55","1"
"MetalenHalffabrikaten_56","1"
"RuweMineralenBouwmaterialen_57","1"
"Meststoffen_58","1"
"ChemischeProducten_59","1"
"OverigeGoederenEnFabrikaten_60","1"
"AantalContainersTotaal_61","1"
"AantalContainersBeladen_62","1"
"AantalTeuSTotaal_63","1"
"AantalTeuSBeladen_64","1"
"LadingInContainers_65","1"
"AantalContainersTotaal_66","1"
"AantalContainersBeladen_67","1"
"AantalTeuSTotaal_68","1"
"AantalTeuSBeladen_69","1"
"LadingInContainers_70","1"
"AantalContainersTotaal_71","1"
"AantalContainersBeladen_72","1"
"AantalTeuSTotaal_73","1"
"AantalTeuSBeladen_74","1"
"LadingInContainers_75","1"
"AantalContainersTotaal_76","1"
"AantalContainersBeladen_77","1"
"AantalTeuSTotaal_78","1"
"AantalTeuSBeladen_79","1"
"LadingInContainers_80","1"
"AantalContainersTotaal_81","1"
"AantalContainersBeladen_82","1"
"AantalTeuSTotaal_83","1"
"AantalTeuSBeladen_84","1"
"LadingInContainers_85","1"
"AantalContainersTotaal_86","1"
"AantalContainersBeladen_87","1"
"AantalTeuSTotaal_88","1"
"AantalTeuSBeladen_89","1"
"LadingInContainers_90","1"
"AantalContainersTotaal_91","1"
"AantalContainersBeladen_92","1"
"AantalTeuSTotaal_93","1"
"AantalTeuSBeladen_94","1"
"LadingInContainers_95","1"
"AantalContainersTotaal_96","1"
"AantalContainersBeladen_97","1"
"AantalTeuSTotaal_98","1"
"AantalTeuSBeladen_99","1"
"LadingInContainers_100","1"
"AantalContainersTotaal_101","1"
"AantalContainersBeladen_102","1"
"AantalTeuSTotaal_103","1"
"AantalTeuSBeladen_104","1"
"LadingInContainers_105","1"
"AantalContainersTotaal_106","1"
"AantalContainersBeladen_107","1"
"AantalTeuSTotaal_108","1"
"AantalTeuSBeladen_109","1"
"LadingInContainers_110","1"
"AantalContainersTotaal_111","1"
"AantalContainersBeladen_112","1"
"AantalTeuSTotaal_113","1"
"AantalTeuSBeladen_114","1"
"LadingInContainers_115","1"
"AantalContainersTotaal_116","1"
"AantalContainersBeladen_117","1"
"AantalTeuSTotaal_118","1"
"AantalTeuSBeladen_119","1"
"LadingInContainers_120","1"
"AantalContainersTotaal_121","1"
"AantalContainersBeladen_122","1"
"AantalTeuSTotaal_123","1"
"AantalTeuSBeladen_124","1"
"LadingInContainers_125","1"
"AantalContainersTotaal_126","1"
"AantalContainersTotaal_127","1"
"AantalTeuSTotaal_128","1"
"AantalTeuSBeladen_129","1"
"LadingInContainers_130","1"
"AantalContainersTotaal_131","1"
"AantalContainersTotaal_132","1"
"AantalTeuSTotaal_133","1"
"AantalTeuSBeladen_134","1"
"LadingInContainers_135","1"
"PersonenautoS_136","1"
"Vrachtvoertuigen_137","1"
"OverigRollendMaterieel_138","1"
"PersonenautoS_139","1"
"Vrachtvoertuigen_140","1"
"OverigRollendMaterieel_141","1"
"PersonenautoS_142","1"
