Gemeente,Plaats,Postcode,Plaats,Postadres,Postcode,Plaats,Telefoon,Fax,E-mail,website
Aa en Hunze,Spiekersteeg 1,9461 BH,GIETEN,Postbus 93,9460 AB,GIETEN,14 0592,(0592) 26 77 99,gemeente@aaenhunze.nl,www.aaenhunze.nl
Aalburg,Grote Kerkstraat 32,4261 BE,WIJK EN AALBURG,Postbus 40,4260 AA,WIJK EN AALBURG,(0416) 69 87 00,(0416) 69 34 74,gemeente@aalburg.nl,www.aalburg.nl
Aalsmeer,Drie Kolommenplein 1,1431 LA,AALSMEER,Postbus 253,1430 AG,AALSMEER,(0297) 38 75 75,(0297) 38 76 76,info@aalsmeer.nl,www.aalsmeer.nl
Aalten,Stationsstraat 8,7122 AS,AALTEN,Postbus 119,7120 AC,AALTEN,(0543) 49 33 33,(0543) 47 54 55,gemeente@aalten.nl,www.aalten.nl
Achtkarspelen,Stationsstraat 18,9285 NH,BUITENPOST,Postbus 2,9285 ZV,BUITENPOST,14 0511,(0511) 54 81 10,gemeente@achtkarspelen.nl,www.achtkarspelen.nl
Alblasserdam,Cortgene 2,2951 ED,ALBLASSERDAM,Postbus 2,2950 AA,ALBLASSERDAM,14 078,(078) 770 80 80,bestuurssecretariaat@alblasserdam.nl,www.alblasserdam.nl
Albrandswaard,Hofhoek 5,3176 PD,POORTUGAAL,Postbus 1000,3160 GA,RHOON,(010) 506 11 11,(010) 501 81 80,info@albrandswaard.nl,www.albrandswaard.nl
Alkmaar,Mallegatsplein 10,1815 AG,ALKMAAR,Postbus 53,1800 BC,ALKMAAR,,(072) 548 77 77,post@alkmaar.nl,www.alkmaar.nl
Almelo,Stadhuisplein 1,7607 EK,ALMELO,Postbus 5100,7600 GC,ALMELO,(0546) 54 11 11,(0546) 54 13 42,Gemeente@almelo.nl,www.almelo.nl
Almere,Stadhuisplein 1,1315 HR,ALMERE,Postbus 200,1300 AE,ALMERE,14 036,(036) 539 99 12,info@almere.nl,www.almere.nl
Alphen aan den Rijn,Stadhuisplein 1,2405 SH,ALPHEN AAN DEN RIJN,Postbus 13,2400 AA,ALPHEN AAN DEN RIJN,14 0172,(0172) 46 55 64,gemeente@alphenaandenrijn.nl,www.alphenaandenrijn.nl
Alphen-Chaam,Willibrordplein 1,5131 AV,ALPHEN NB,Postbus 3,5130 AA,ALPHEN NB,(013) 508 66 66,(013) 508 66 54,info@alphen-chaam.nl,www.alphen-chaam.nl
Ameland,Jelmeraweg 1,9162 EA,BALLUM,Postbus 22,9160 AA,HOLLUM,(0519) 55 55 55,(0519) 55 55 99,gemeente@ameland.nl,www.ameland.nl
Amersfoort,Stadhuisplein 1,3811 LM,AMERSFOORT,Postbus 4000,3800 EA,AMERSFOORT,14 033,(033) 469 54 54,info_gemeente@amersfoort.nl,www.amersfoort.nl
Amstelveen,Laan Nieuwer-Amstel 1,1182 JR,AMSTELVEEN,Postbus 4,1180 BA,AMSTELVEEN,(020) 540 49 11,(020) 540 45 59,gemeente@amstelveen.nl,www.amstelveen.nl
Amsterdam,Amstel 1,1011 PN,AMSTERDAM,Postbus 202,1000 AE,AMSTERDAM,14 020,,,www.amsterdam.nl
Apeldoorn,Marktplein 1,7311 LG,APELDOORN,Postbus 9033,7300 ES,APELDOORN,14 055,(055) 580 11 60,gemeente@apeldoorn.nl,www.apeldoorn.nl
Appingedam,Wilhelminaweg 14,9901 CM,APPINGEDAM,Postbus 15,9900 AA,APPINGEDAM,(0596) 69 11 00,(0596) 69 11 01,info@appingedam.nl,www.appingedam.nl
Arnhem,Koningstraat 38,6811 DG,ARNHEM,Postbus 9029,6800 EL,ARNHEM,0900 1809,(026) 377 48 30,gemeente@arnhem.nl,www.arnhem.nl
Assen,Noordersingel 33,9401 JW,ASSEN,Postbus 30018,9400 RA,ASSEN,(0592) 36 69 11,(0592) 36 65 95,info@assen.nl,www.assen.nl
Asten,Koningsplein 3,5721 GJ,ASTEN,Postbus 290,5720 AG,ASTEN,(0493) 67 12 12,(0493) 67 12 13,Gemeente@asten.nl,www.asten.nl
Baarle-Nassau,Singel 1,5111 CC,BAARLE-NASSAU,Postbus 105,5110 AC,BAARLE-NASSAU,(013) 507 52 00,(013) 507 81 45,gemeente@baarle-nassau.nl,www.baarle-nassau.nl
Baarn,Stationsweg 18,3743 EN,BAARN,Postbus 1003,3740 BA,BAARN,(035) 548 16 11,(035) 548 17 94,gemeente@baarn.nl,www.baarn.nl
Barendrecht,Binnenhof 1,2991 AA,BARENDRECHT,Postbus 501,2990 EA,BARENDRECHT,14 0180,(0180) 69 83 99,gemeente@barendrecht.nl,www.barendrecht.nl
Barneveld,Raadhuisplein 2,3771 ER,BARNEVELD,Postbus 63,3770 AB,BARNEVELD,14 0342,(0342) 49 53 76,info@barneveld.nl,www.barneveld.nl
Bedum,Schoolstraat 1,9781 JL,BEDUM,Postbus 38,9780 AA,BEDUM,(050) 301 89 11,(050) 301 82 47,gemeente@bedum.nl,www.bedum.nl
Beek,Raadhuisstraat 9,6191 KA,BEEK LB,Postbus 20,6190 AA,BEEK LB,(046) 438 92 22,(046) 437 77 57,info@gemeentebeek.nl,www.gemeentebeek.nl
Beemster,Rijn Middelburgstraat 1,1462 NV,MIDDENBEEMSTER,Postbus 7,1462 ZG,MIDDENBEEMSTER,(0299) 68 21 00,,gemeente@beemster.net,www.beemster.net
Beesel,Raadhuisplein 1,5953 AL,REUVER,Postbus 4750,5953 ZK,REUVER,(077) 474 92 92,(077) 474 58 88,info@beesel.nl,www.beesel.nl
Bellingwedde,Hoofdweg 2,9698 AE,WEDDE,Hoofdweg 2,9698 AE,WEDDE,(0597) 53 71 00,(0597) 53 15 55,gemeente@bellingwedde.nl,www.bellingwedde.nl
Bergeijk,Burg Magneestraat 1,5571 HB,BERGEIJK,Postbus 10000,5570 GA,BERGEIJK,(0497) 55 14 55,(0497) 55 14 99,info@bergeijk.nl,www.bergeijk.nl
Bergen (L.),Raadhuisstraat 2,5854 AX,BERGEN LB,Postbus 140,5854 ZJ,BERGEN LB,(0485) 34 83 83,(0485) 34 28 44,info@bergen.nl,www.bergen.nl
Bergen (NH.),Jan Ligthartstraat 4,1817 MR,ALKMAAR,Postbus 175,1860 AD,BERGEN NH,(072) 888 00 00,(072) 888 01 00,info@bergen-nh.nl,www.bergen-nh.nl
Bergen op Zoom,Jacob Obrechtlaan 4,4611 AR,BERGEN OP ZOOM,Postbus 35,4600 AA,BERGEN OP ZOOM,(0164) 27 70 00,(0164) 24 53 56,stadskantoor@bergenopzoom.nl,www.bergenopzoom.nl
Berkelland,Marktstraat 1,7271 AX,BORCULO,Postbus 200,7270 HA,BORCULO,(0545) 25 02 50,,info@gemeenteberkelland.nl,www.gemeenteberkelland.nl
Bernheze,De Misse 6,5384 BZ,HEESCH,Postbus 19,5384 ZG,HEESCH,(0412) 45 88 88,(0412) 45 46 35,gemeente@bernheze.org,www.bernheze.org
Best,Raadhuisplein 1,5683 EA,BEST,Postbus 50,5680 AB,BEST,(0499) 36 09 11,(0499) 36 02 32,gemeente.best@gembest.nl,www.gemeentebest.nl
Beuningen,Van Heemstraweg 46,6641 AE,BEUNINGEN GLD,Postbus 14,6640 AA,BEUNINGEN GLD,14 024,(024) 677 80 78,gemeente@beuningen.nl,www.beuningen.nl
Beverwijk,Stationsplein 48,1948 LC,BEVERWIJK,Postbus 450,1940 AL,BEVERWIJK,(0251) 25 62 56,(0251) 25 64 44,info@beverwijk.nl,www.beverwijk.nl
Binnenmaas,Sportlaan 22,3299 XG,MAASDAM,Postbus 5455,3299 ZH,MAASDAM,(078) 676 44 33,(078) 676 19 58,gemeente@binnenmaas.nl,www.binnenmaas.nl
Bladel,Markt 21,5531 BC,BLADEL,Postbus 11,5530 AA,BLADEL,(0497) 36 16 36,(0497) 36 16 00,info@bladel.nl,www.bladel.nl
Blaricum,Kerklaan 16,1261 JB,BLARICUM,Postbus 71,3755 ZH,EEMNES,(035) 751 32 22,(035) 751 31 01,mail@blaricum.nl,www.blaricum.nl
Bloemendaal,Bloemendaalseweg 158,2051 GJ,OVERVEEN,Postbus 201,2050 AE,OVERVEEN,14 023,(023) 522 55 66,gemeente@bloemendaal.nl,www.bloemendaal.nl
Bodegraven-Reeuwijk,Raadhuisplein 1,2411 BD,BODEGRAVEN,Postbus 401,2410 AK,BODEGRAVEN,(0172) 52 25 22,(0172) 52 29 99,info@bodegraven-reeuwijk.nl,www.bodegraven-reeuwijk.nl
Boekel,Sint Agathaplein 2,5427 AB,BOEKEL,Postbus 99,5427 ZH,BOEKEL,(0492) 32 68 00,(0492) 32 44 95,info@boekel.nl,www.boekel.nl
Borger-Odoorn,Hoofdstraat 50,7875 AD,EXLOO,Postbus 3,7875 ZG,EXLOO,14 0591,(0591) 53 53 99,gemeente@borger-odoorn.nl,www.borger-odoorn.nl
Borne,Rheineplein 1,7622 DG,BORNE,Postbus 200,7620 AE,BORNE,(074) 265 86 86,(074) 266 33 38,info@borne.nl,www.borne.nl
Borsele,Stenevate 10,4451 KB,HEINKENSZAND,Postbus 1,4450 AA,HEINKENSZAND,(0113) 23 83 83,(0113) 56 13 85,info@borsele.nl,www.borsele.nl
Boxmeer,Raadhuisplein 1,5831 JX,BOXMEER,Postbus 450,5830 AL,BOXMEER,(0485) 58 59 11,(0485) 57 24 32,gemeente@boxmeer.nl,www.boxmeer.nl
Boxtel,Markt 1,5281 AT,BOXTEL,Postbus 10000,5280 DA,BOXTEL,(0411) 65 59 11,(0411) 65 52 25,gemeente@boxtel.nl,www.boxtel.nl
Breda,Claudius Prinsenlaan 10,4811 DJ,BREDA,Postbus 90156,4800 RH,BREDA,14 076,,gemeentebreda@breda.nl,www.breda.nl
Brielle,Slagveld 36,3231 AP,BRIELLE,Postbus 101,3230 AC,BRIELLE,(0181) 47 11 11,(0181) 41 81 18,info@brielle.nl,www.brielle.nl
Bronckhorst,Elderinkweg 2,7255 KA,HENGELO GLD,Postbus 200,7255 ZJ,HENGELO GLD,(0575) 75 02 50,(0575) 75 05 99,info@bronckhorst.nl,www.bronckhorst.nl
Brummen,Engelenburgerlaan 31,6971 BV,BRUMMEN,Postbus 5,6970 AA,BRUMMEN,(0575) 56 82 33,(0575) 56 82 88,gemeente@brummen.nl,www.brummen.nl
Brunssum,Lindeplein 1,6444 AT,BRUNSSUM,Postbus 250,6440 AG,BRUNSSUM,(045) 527 85 55,(045) 525 98 79,gemeente@brunssum.nl,www.brunssum.nl
Bunnik,Singelpark 1,3984 NC,ODIJK,Postbus 5,3980 CA,BUNNIK,(030) 659 48 48,(030) 657 03 85,info@bunnik.nl,www.bunnik.nl
Bunschoten,Stadsspui 1,3752 CL,BUNSCHOTEN-SPAKENBURG,Postbus 200,3750 GE,BUNSCHOTEN-SPAKENBURG,,,,www.bunschoten.nl
Buren,De Wetering 1,4021 VZ,MAURIK,Postbus 23,4020 BA,MAURIK,14 0344,(0344) 57 92 00,gemeente@buren.nl,www.buren.nl
Bussum,Brinklaan 35,1404 EP,BUSSUM,Postbus 6000,1400 HA,BUSSUM,(035) 692 88 88,(035) 692 85 00,info@bussum.nl,www.bussum.nl
Capelle aan den IJssel,Rivierweg 111,2903 AR,CAPELLE AAN DEN IJSSEL,Postbus 70,2900 AB,CAPELLE AAN DEN IJSSEL,(010) 284 84 84,(010) 284 88 00,gemeente@capelleaandenijssel.nl,www.capelleaandenijssel.nl
Castricum,Raadhuisplein 1,1902 CA,CASTRICUM,Postbus 1301,1900 BH,CASTRICUM,(0251) 66 11 22,(0251) 66 12 34,gemeentebestuur@castricum.nl,www.castricum.nl
Coevorden,Kasteel 1,7741 GC,COEVORDEN,Postbus 2,7740 AA,COEVORDEN,14 0524,,info@coevorden.nl,www.coevorden.nl
Cranendonck,Cranendonck 3,6027 RK,SOERENDONK,Postbus 2090,6020 AB,BUDEL,(0495) 43 12 22,(0495) 43 12 00,info@cranendonck.nl,www.cranendonck.nl
Cromstrijen,Buttervliet 1,3281 LK,NUMANSDORP,Postbus 7400,3280 AE,NUMANSDORP,(0186) 65 61 00,(0186) 65 45 59,info@cromstrijen.nl,www.cromstrijen.nl
Cuijk,Louis Jansenplein 1,5431 BV,CUIJK,Postbus 10001,5430 DA,CUIJK,(0485) 39 66 00,(0485) 31 77 74,gemeente@cuijk.nl,www.cuijk.nl
Culemborg,Ridderstraat 250,4101 BK,CULEMBORG,Postbus 136,4100 AC,CULEMBORG,(0345) 47 77 00,(0345) 47 79 50,info@culemborg.nl,www.culemborg.nl
Dalfsen,Raadhuisstraat 1,7721 AX,DALFSEN,Postbus 35,7720 AA,DALFSEN,(0529) 48 83 88,(0529) 48 82 22,gemeente@dalfsen.nl,www.dalfsen.nl
Dantumadiel,Hynsteblom 4,9104 BR,DAMWALD,Postbus 22,9104 ZG,DAMWALD,14+ 0511,(0511) 42 31 39,post@dantumadiel.eu,www.dantumadiel.eu
De Bilt,Soestdijkseweg Zuid 173,3721 AB,BILTHOVEN,Postbus 300,3720 AH,BILTHOVEN,(030) 228 94 11,(030) 228 94 57,info@debilt.nl,www.debilt.nl
De Friese Meren,,,,,,,,,,
De Marne,R. Ritzemastraat 2,9965 TD,LEENS,Postbus 11,9965 ZG,LEENS,(0595) 57 55 00,(0595) 57 12 49,gemeente@demarne.nl,www.demarne.nl
De Ronde Venen,Croonstadtlaan 111,3641 AL,MIJDRECHT,Postbus 250,3640 AG,MIJDRECHT,(0297) 29 16 16,(0297) 28 42 81,info@derondevenen.nl,www.derondevenen.nl
De Wolden,Raadhuisstraat 2,7921 GD,ZUIDWOLDE DR,Postbus 20,7920 AA,ZUIDWOLDE DR,14 0528,(0528) 37 82 28,gemeente@dewolden.nl,www.dewolden.nl
Delft,Phoenixstraat 16,2611 AL,DELFT,Postbus 78,2600 ME,DELFT,,(015) 219 71 43,,www.delft.nl
Delfzijl,Johan van den Kornputpln 10,9934 EA,DELFZIJL,Postbus 20000,9930 PA,DELFZIJL,,(0596) 63 07 12,gemeente@delfzijl.nl,www.delfzijl.nl
Den Haag,Spui 70,2511 BT,&#39;S-GRAVENHAGE,Postbus 12600,2500 DJ,&#39;S-GRAVENHAGE,,(070) 353 27 82,,www.denhaag.nl
Den Helder,Drs. F. Bijlweg 20,1784 MC,DEN HELDER,Postbus 36,1780 AA,DEN HELDER,(0223) 67 12 00,(0223) 67 12 01,info@denhelder.nl,www.denhelder.nl
Deurne,Markt 1,5751 BE,DEURNE,Postbus 3,5750 AA,DEURNE,(0493) 38 77 11,(0493) 38 75 55,info@deurne.nl,www.deurne.nl
Deventer,Grote Kerkhof 4,7411 KT,DEVENTER,Postbus 5000,7400 GC,DEVENTER,14 0570,(0570) 69 33 37,gemeente@deventer.nl,www.deventer.nl
Diemen,D.J. den Hartoglaan 1,1111 ZB,DIEMEN,Postbus 191,1110 AD,DIEMEN,(020) 314 48 88,(020) 314 46 35,gemeente@diemen.nl,www.diemen.nl
Dinkelland,Nicolaasplein 5,7591 MA,DENEKAMP,Postbus 11,7590 AA,DENEKAMP,(0541) 85 41 00,(0541) 85 43 20,info@dinkelland.nl,www.dinkelland.nl
Doesburg,Philippus Gastelaarsstr 2,6981 BH,DOESBURG,Postbus 100,6980 AC,DOESBURG,(0313) 48 13 13,(0313) 47 20 10,info@doesburg.nl,www.doesburg.nl
Doetinchem,Raadhuisstraat 2,7001 EW,DOETINCHEM,Postbus 9020,7000 HA,DOETINCHEM,(0314) 37 73 77,(0314) 34 34 37,gemeente@doetinchem.nl,www.doetinchem.nl
Dongen,Hoge Ham 62,5104 JJ,DONGEN,Postbus 10153,5100 GE,DONGEN,(0162) 38 32 00,(0162) 31 89 22,info@dongen.nl,www.dongen.nl
Dongeradeel,Koningstraat 13,9101 LP,DOKKUM,Postbus 1,9100 AA,DOKKUM,14 0519,(0519) 29 88 89,gemeente@dongeradeel.nl,www.dongeradeel.nl
Dordrecht,Spuiboulevard 300,3311 GR,DORDRECHT,Postbus 8,3300 AA,DORDRECHT,,,,www.dordrecht.nl
Drechterland,Raadhuisplein 1,1616 AV,HOOGKARSPEL,Postbus 9,1616 ZG,HOOGKARSPEL,(0228) 35 23 52,(0228) 35 23 53,gemeente@drechterland.nl,www.drechterland.nl
Drimmelen,Park 1,4921 BV,MADE,Postbus 19,4920 AA,MADE,(0162) 69 01 90,(0162) 68 66 23,gemeente@drimmelen.nl,www.drimmelen.nl
Dronten,De Rede 1,8251 ER,DRONTEN,Postbus 100,8250 AC,DRONTEN,,(0321) 31 31 30,gemeente@dronten.nl,www.dronten.nl
Druten,Heuvel 1,6651 DA,DRUTEN,Postbus 1,6650 AA,DRUTEN,14 0487,(0487) 58 01 99,info@druten.nl,www.druten.nl
Duiven,Kastanjelaan 3,6921 ER,DUIVEN,Kastanjelaan 3,6921 ER,DUIVEN,(0316) 27 91 11,(0316) 27 92 79,gemeente@duiven.nl,www.duiven.nl
Echt-Susteren,Nieuwe Markt 55,6101 CV,ECHT,Postbus 450,6100 AL,ECHT,(0475) 47 84 78,(0475) 47 87 55,info@echt-susteren.nl,www.echt-susteren.nl
Edam-Volendam,Burg van der Knoopdreef 1,1132 KN,VOLENDAM,Postbus 180,1130 AD,VOLENDAM,(0299) 39 83 98,(0299) 36 80 24,info@edam-volendam.nl,www.edam-volendam.nl
Ede,Bergstraat 4,6711 DD,EDE GLD,Postbus 9022,6710 HK,EDE GLD,14-0318,(0318) 68 05 77,info@ede.nl,www.ede.nl
Eemnes,Zuidersingel 1,3755 AZ,EEMNES,Postbus 71,3755 ZH,EEMNES,,(035) 751 31 01,info@eemnes.nl,www.eemnes.nl
Eemsmond,Hoofdstraat-West 1,9981 AA,UITHUIZEN,Postbus 11,9980 AA,UITHUIZEN,(0595) 43 75 55,(0595) 43 76 66,algemeen@eemsmond.nl,www.eemsmond.nl
Eersel,,,,Postbus 12,5520 AA,EERSEL,(0497) 53 13 00,(0497) 53 13 50,gemeente@eersel.nl,www.eersel.nl
Eijsden-Margraten,Amerikaplein 1,6269 DA,MARGRATEN,Postbus 10,6269 ZG,MARGRATEN,(043) 458 84 88,(043) 458 84 00,info@eijsden-margraten.nl,www.eijsden-margraten.nl
Eindhoven,Stadhuisplein 10,5611 EM,EINDHOVEN,Postbus 90150,5600 RB,EINDHOVEN,14 040,(040) 243 35 85,gemeente@eindhoven.nl,www.eindhoven.nl
Elburg,Zuiderzeestraatweg Oost 19,8081 LA,ELBURG,Postbus 70,8080 AB,ELBURG,(0525) 68 86 88,(0525) 68 86 99,gemeente@elburg.nl,www.elburg.nl
Emmen,Raadhuisplein 1,7811 AP,EMMEN,Postbus 30001,7800 RA,EMMEN,14 0591,(0591) 68 55 99,gemeente@emmen.nl,www.emmen.nl
Enkhuizen,Hoogstraat 11,1601 KT,ENKHUIZEN,Postbus 11,1600 AA,ENKHUIZEN,(0228) 36 01 00,(0228) 31 33 12,stadhuis@enkhuizen.nl,www.enkhuizen.nl
Enschede,Hengelosestraat 51,7514 AD,ENSCHEDE,Postbus 20,7500 AA,ENSCHEDE,,(053) 431 74 45,postbus20@enschede.nl,www.enschede.nl
Epe,Markt 14,8161 CL,EPE,Postbus 600,8160 AP,EPE,14 0578,(0578) 67 87 88,gemeente@epe.nl,www.epe.nl
Ermelo,Raadhuisplein 2,3851 NT,ERMELO,Postbus 500,3850 AM,ERMELO,(0341) 56 73 21,(0341) 56 73 69,gemeente@ermelo.nl,www.ermelo.nl
